Date,windspeed,Enercon E126/7580 OFF power at a hub height of 135.0 m (kW),293.0 turbines for Enercon E126/7580 OFF power at a hub height of 135.0 m (MW)
2000-01-01 00:00:00,7.2654959253702,2714.256,795.2770079999999
2000-01-01 01:00:00,7.386910779458118,2876.904,842.932872
2000-01-01 02:00:00,7.454799096344093,2967.84,869.57712
2000-01-01 03:00:00,7.471638326048887,2990.412,876.190716
2000-01-01 04:00:00,7.569077377352973,3120.984,914.448312
2000-01-01 05:00:00,7.787140228855862,3403.506,997.2272579999999
2000-01-01 06:00:00,7.9537549640862535,3614.34,1059.00162
2000-01-01 07:00:00,8.217398613539544,3967.392,1162.4458559999998
2000-01-01 08:00:00,8.568511700401675,4450.076,1303.8722679999998
2000-01-01 09:00:00,8.950705922338965,4945.496,1449.030328
2000-01-01 10:00:00,9.33574517613786,5381.72,1576.84396
2000-01-01 11:00:00,9.559986934002264,5626.448,1648.5492640000002
2000-01-01 12:00:00,9.867241190055307,5935.416,1739.076888
2000-01-01 13:00:00,10.08940615137296,6146.972,1801.062796
2000-01-01 14:00:00,10.138497055352119,6191.429,1814.088697
2000-01-01 15:00:00,9.959341966913012,6023.427,1764.8641109999999
2000-01-01 16:00:00,9.759997868564003,5833.006,1709.070758
2000-01-01 17:00:00,9.610684512032954,5681.8,1664.7674000000002
2000-01-01 18:00:00,9.491584937341171,5551.824,1626.6844319999998
2000-01-01 19:00:00,9.380427357223553,5430.472,1591.1282959999999
2000-01-01 20:00:00,9.240250793481463,5275.96,1545.85628
2000-01-01 21:00:00,8.945859808993752,4939.976,1447.4129679999999
2000-01-01 22:00:00,8.601931326405884,4494.788,1316.9728839999998
2000-01-01 23:00:00,8.251021280190598,4014.096,1176.130128
2000-01-02 00:00:00,7.950412464043138,3610.158,1057.776294
2000-01-02 01:00:00,7.6516251995996125,3231.576,946.851768
2000-01-02 02:00:00,7.415091415826082,2914.704,854.008272
2000-01-02 03:00:00,7.432863633072162,2938.464,860.9699519999999
2000-01-02 04:00:00,7.568859077518573,3120.66,914.35338
2000-01-02 05:00:00,7.713091995065542,3309.87,969.7919099999999
2000-01-02 06:00:00,7.833123199560608,3461.748,1014.292164
2000-01-02 07:00:00,8.027468553523065,3707.67,1086.34731
2000-01-02 08:00:00,7.983436631799013,3651.876,1069.9996680000002
2000-01-02 09:00:00,7.888136158422648,3531.312,1034.674416
2000-01-02 10:00:00,7.782513206084393,3397.692,995.523756
2000-01-02 11:00:00,7.73307033203753,3335.166,977.2036380000001
