Date,windspeed,MHI Vestas V164/8000 OFF power at a hub height of 105.0 m (kW),293.0 turbines for MHI Vestas V164/8000 OFF power at a hub height of 105.0 m (MW)
2000-01-01 00:00:00,7.2654959253702,3565.272,1044.624696
2000-01-01 01:00:00,7.386910779458118,3769.236,1104.386148
2000-01-01 02:00:00,7.454799096344093,3916.318,1147.481174
2000-01-01 03:00:00,7.471638326048887,3953.628,1158.413004
2000-01-01 04:00:00,7.569077377352973,4169.48,1221.65764
2000-01-01 05:00:00,7.787140228855862,4652.69,1363.2381699999999
2000-01-01 06:00:00,7.9537549640862535,5021.786,1471.383298
2000-01-01 07:00:00,8.217398613539544,5605.056,1642.2814079999998
2000-01-01 08:00:00,8.568511700401675,6280.348,1840.141964
2000-01-01 09:00:00,8.950705922338965,7015.522,2055.547946
2000-01-01 10:00:00,9.33574517613786,7486.264,2193.475352
2000-01-01 11:00:00,9.559986934002264,7641.28,2238.89504
2000-01-01 12:00:00,9.867241190055307,7754.06,2271.93958
2000-01-01 13:00:00,10.08940615137296,7848.735,2299.6793549999998
2000-01-01 14:00:00,10.138497055352119,7869.63,2305.80159
2000-01-01 15:00:00,9.959341966913012,7793.295,2283.435435
2000-01-01 16:00:00,9.759997868564003,7714.33,2260.29869
2000-01-01 17:00:00,9.610684512032954,7659.79,2244.31847
2000-01-01 18:00:00,9.491584937341171,7616.29,2231.57297
2000-01-01 19:00:00,9.380427357223553,7531.96,2206.86428
2000-01-01 20:00:00,9.240250793481463,7388.656,2164.876208
2000-01-01 21:00:00,8.945859808993752,7006.2,2052.8165999999997
2000-01-01 22:00:00,8.601931326405884,6344.654,1858.9836220000002
2000-01-01 23:00:00,8.251021280190598,5669.678,1661.2156539999999
2000-01-02 00:00:00,7.950412464043138,5014.324,1469.1969319999998
2000-01-02 01:00:00,7.6516251995996125,4352.39,1275.25027
2000-01-02 02:00:00,7.415091415826082,3828.412,1121.724716
2000-01-02 03:00:00,7.432863633072162,3867.724,1133.243132
2000-01-02 04:00:00,7.568859077518573,4168.934,1221.497662
2000-01-02 05:00:00,7.713091995065542,4488.526,1315.138118
2000-01-02 06:00:00,7.833123199560608,4754.428,1393.047404
2000-01-02 07:00:00,8.027468553523065,5185.04,1519.21672
2000-01-02 08:00:00,7.983436631799013,5087.488,1490.6339840000003
2000-01-02 09:00:00,7.888136158422648,4876.368,1428.775824
2000-01-02 10:00:00,7.782513206084393,4642.316,1360.198588
2000-01-02 11:00:00,7.73307033203753,4532.752,1328.096336
2000-01-02 12:00:00,7.7194504222870215,4502.722,1319.2975459999998
2000-01-02 13:00:00,7.759573934203397,4591.538,1345.320634
2000-01-02 14:00:00,7.574913322703973,4182.402,1225.443786
2000-01-02 15:00:00,7.433225201014383,3868.452,1133.456436
2000-01-02 16:00:00,7.528123928652582,4078.844,1195.1012919999998
2000-01-02 17:00:00,7.785446669112687,4648.868,1362.118324
2000-01-02 18:00:00,8.183179156396914,5530.112,1620.322816
2000-01-02 19:00:00,8.348866194376452,5858.014,1716.3981019999999
2000-01-02 20:00:00,8.391177270722181,5939.384,1740.239512
2000-01-02 21:00:00,8.413633714332171,5982.518,1752.877774
2000-01-02 22:00:00,8.441994311282448,6037.028,1768.849204
2000-01-02 23:00:00,8.558174142078197,6260.598,1834.355214
2000-01-03 00:00:00,8.910913283396399,6939.05,2033.14165
2000-01-03 01:00:00,9.30440718604666,7454.26,2184.09818
2000-01-03 02:00:00,9.6750478349161,7683.28,2251.20104
2000-01-03 03:00:00,9.844813417750832,7745.29,2269.36997
2000-01-03 04:00:00,10.090562918680904,7849.225,2299.8229250000004
2000-01-03 05:00:00,10.115604476662984,7859.865,2302.9404449999997
2000-01-03 06:00:00,9.904755690869957,7770.055,2276.626115
2000-01-03 07:00:00,9.49120278076406,7616.14,2231.52902
2000-01-03 08:00:00,9.055644984348074,7199.824,2109.548432
2000-01-03 09:00:00,8.709651196139125,6551.792,1919.675056
2000-01-03 10:00:00,8.859576705399828,6840.3,2004.2079
2000-01-03 11:00:00,8.864718778616053,6850.096,2007.0781279999999
2000-01-03 12:00:00,8.737694719497515,6605.828,1935.5076040000001
2000-01-03 13:00:00,8.473656081163046,6098.016,1786.718688
2000-01-03 14:00:00,8.289042900828644,5742.832,1682.649776
2000-01-03 15:00:00,8.147014477002974,5449.85,1596.8060500000001
2000-01-03 16:00:00,8.021546342543074,5171.936,1515.377248
2000-01-03 17:00:00,7.997304704020028,5118.246,1499.646078
2000-01-03 18:00:00,7.9252455476896095,4958.632,1452.879176
2000-01-03 19:00:00,7.671456889931655,4396.252,1288.101836
2000-01-03 20:00:00,7.27213878861879,3576.45,1047.89985
2000-01-03 21:00:00,6.979055838048838,3084.624,903.7948319999999
2000-01-03 22:00:00,6.710685035942898,2666.448,781.269264
2000-01-03 23:00:00,6.420646042107303,2256.8,661.2424
2000-01-04 00:00:00,6.1796431414665145,1948.73,570.97789
2000-01-04 01:00:00,5.935512106674643,1664.13,487.59009000000003
2000-01-04 02:00:00,5.779385316153563,1483.63,434.70359
2000-01-04 03:00:00,5.677001508995563,1387.49,406.53457000000003
2000-01-04 04:00:00,5.6475949396302045,1362.43,399.19199
