Date,windspeed,Enercon E126/7580 OFF power at a hub height of 135.0 m (kW),216.0 turbines for Enercon E126/7580 OFF power at a hub height of 135.0 m (MW)
2000-01-01 00:00:00,7.445647401534377,2955.636,638.4173760000001
2000-01-01 01:00:00,7.5225555749270185,3058.668,660.6722880000001
2000-01-01 02:00:00,7.529370626926508,3067.848,662.655168
2000-01-01 03:00:00,7.5166788512651515,3050.784,658.9693440000001
2000-01-01 04:00:00,7.365450822282777,2848.176,615.206016
2000-01-01 05:00:00,7.176818522280612,2622.56,566.47296
2000-01-01 06:00:00,7.199410223247957,2644.96,571.31136
2000-01-01 07:00:00,7.444722544959447,2954.34,638.1374400000001
2000-01-01 08:00:00,7.853543684866564,3487.554,753.311664
2000-01-01 09:00:00,8.330803458438206,4124.976,890.9948159999999
2000-01-01 10:00:00,8.716089241348696,4647.716,1003.9066560000001
2000-01-01 11:00:00,9.008807200174656,5011.828,1082.554848
2000-01-01 12:00:00,9.248470966762142,5285.344,1141.634304
2000-01-01 13:00:00,9.210161602978287,5241.644,1132.1951040000001
2000-01-01 14:00:00,8.914595187282426,4904.28,1059.32448
2000-01-01 15:00:00,8.837664770751381,4810.688,1039.108608
2000-01-01 16:00:00,8.698895965508553,4624.712,998.9377920000002
2000-01-01 17:00:00,8.498008971642879,4355.576,940.804416
2000-01-01 18:00:00,8.269971783694372,4040.416,872.729856
2000-01-01 19:00:00,8.306095628838376,4090.592,883.567872
2000-01-01 20:00:00,8.375726411525887,4187.36,904.4697599999998
2000-01-01 21:00:00,8.259314199779558,4025.632,869.536512
2000-01-01 22:00:00,8.028792813493604,3709.302,801.209232
2000-01-01 23:00:00,7.816186543462369,3440.328,743.110848
2000-01-02 00:00:00,7.603725179297548,3167.424,684.163584
2000-01-02 01:00:00,7.2670271570769405,2716.308,586.722528
2000-01-02 02:00:00,7.049100800835159,2495.84,539.10144
2000-01-02 03:00:00,7.003595473596668,2450.64,529.33824
2000-01-02 04:00:00,7.1442491362742135,2590.24,559.4918399999999
2000-01-02 05:00:00,7.356298130748779,2835.972,612.5699520000001
2000-01-02 06:00:00,7.528631457286407,3066.768,662.4218880000001
