Date,windspeed,MHI Vestas V164/9500 OFF power at a hub height of 105.0 m (kW),216.0 turbines for MHI Vestas V164/9500 OFF power at a hub height of 105.0 m (MW)
2000-01-01 00:00:00,7.445647401534377,4536.4924,979.8823584
2000-01-01 01:00:00,7.5225555749270185,4672.5448,1009.2696767999998
2000-01-01 02:00:00,7.529370626926508,4684.5964,1011.8728224
2000-01-01 03:00:00,7.5166788512651515,4662.0904,1007.0115264
2000-01-01 04:00:00,7.365450822282777,4399.252,950.238432
2000-01-01 05:00:00,7.176818522280612,4096.18,884.7748800000002
2000-01-01 06:00:00,7.199410223247957,4132.48,892.6156799999999
2000-01-01 07:00:00,7.444722544959447,4534.8952,979.5373632000001
2000-01-01 08:00:00,7.853543684866564,5258.038,1135.7362079999998
2000-01-01 09:00:00,8.330803458438206,6097.82,1317.1291199999998
2000-01-01 10:00:00,8.716089241348696,6754.1994,1458.9070704
2000-01-01 11:00:00,9.008807200174656,7252.3068,1566.4982688
2000-01-01 12:00:00,9.248470966762142,7640.6048,1650.3706368
2000-01-01 13:00:00,9.210161602978287,7578.8674,1637.0353584
2000-01-01 14:00:00,8.914595187282426,7091.9562,1531.8625392
2000-01-01 15:00:00,8.837664770751381,6961.1034,1503.5983344
2000-01-01 16:00:00,8.698895965508553,6724.9812,1452.5959392000002
2000-01-01 17:00:00,8.498008971642879,6382.72,1378.66752
2000-01-01 18:00:00,8.269971783694372,5994.08,1294.72128
2000-01-01 19:00:00,8.306095628838376,6055.68,1308.0268800000001
2000-01-01 20:00:00,8.375726411525887,6174.4,1333.6704
2000-01-01 21:00:00,8.259314199779558,5975.88,1290.79008
2000-01-01 22:00:00,8.028792813493604,5569.456,1203.002496
2000-01-01 23:00:00,7.816186543462369,5191.608,1121.387328
2000-01-02 00:00:00,7.603725179297548,4816.0024,1040.2565184
2000-01-02 01:00:00,7.2670271570769405,4241.116,916.081056
2000-01-02 02:00:00,7.049100800835159,3890.92,840.43872
2000-01-02 03:00:00,7.003595473596668,3817.792,824.643072
2000-01-02 04:00:00,7.1442491362742135,4043.908,873.484128
2000-01-02 05:00:00,7.356298130748779,4384.6,947.0736
2000-01-02 06:00:00,7.528631457286407,4683.2896,1011.5905536
2000-01-02 07:00:00,7.796186078451423,5156.206,1113.7404960000001
2000-01-02 08:00:00,7.981169402030037,5484.922,1184.743152
2000-01-02 09:00:00,7.810692354423634,5181.826,1119.274416
2000-01-02 10:00:00,7.696152507043707,4979.3524,1075.5401184
2000-01-02 11:00:00,7.583124381785476,4779.5572,1032.3843552
2000-01-02 12:00:00,7.300223137261463,4294.444,927.5999040000002
2000-01-02 13:00:00,6.803883400600487,3496.465,755.23644
2000-01-02 14:00:00,6.348902891040398,2822.9422,609.7555152
2000-01-02 15:00:00,6.183317515546513,2599.9726,561.5940816
2000-01-02 16:00:00,6.496701976595343,3021.9116,652.7329056
2000-01-02 17:00:00,6.790416241900423,3474.7842,750.5533872
2000-01-02 18:00:00,6.937305666501932,3711.1578,801.6100848
2000-01-02 19:00:00,7.1189683275491005,4003.252,864.702432
2000-01-02 20:00:00,7.653720015307673,4904.284,1059.325344
2000-01-02 21:00:00,7.932467580800191,5398.344,1166.042304
2000-01-02 22:00:00,7.727865769923563,5035.3996,1087.6463136
2000-01-02 23:00:00,7.911217708550563,5360.53,1157.87448
2000-01-03 00:00:00,8.120966533914624,5733.268,1238.385888
2000-01-03 01:00:00,8.402842739611485,6220.6,1343.6496000000002
2000-01-03 02:00:00,8.496644617713004,6380.48,1378.1836799999999
2000-01-03 03:00:00,8.538110592373398,6451.04,1393.42464
2000-01-03 04:00:00,8.83298073736214,6953.1348,1501.8771168
2000-01-03 05:00:00,9.01472007096407,7262.3724,1568.6724384000001
2000-01-03 06:00:00,8.854878110232313,6990.3216,1509.9094656
2000-01-03 07:00:00,8.760761919093996,6830.2506,1475.3341296
2000-01-03 08:00:00,8.692417900115379,6713.937,1450.210392
2000-01-03 09:00:00,8.71356945524947,6749.8656,1457.9709696
2000-01-03 10:00:00,8.532746926470676,6441.94,1391.4590399999997
2000-01-03 11:00:00,8.341879535396382,6116.72,1321.21152
2000-01-03 12:00:00,8.141023157968082,5768.892,1246.080672
2000-01-03 13:00:00,8.002661448720763,5523.028,1192.974048
2000-01-03 14:00:00,7.679410421177917,4949.7316,1069.1420256000001
2000-01-03 15:00:00,7.509794910987967,4649.8936,1004.3770176
2000-01-03 16:00:00,7.567695357123562,4752.2596,1026.4880736
2000-01-03 17:00:00,7.526378945648764,4679.224,1010.712384
2000-01-03 18:00:00,7.443059896647157,4531.9912,978.9100992000001
2000-01-03 19:00:00,7.327528699021065,4338.4,937.0944
2000-01-03 20:00:00,7.254860686001629,4221.58,911.8612800000001
2000-01-03 21:00:00,7.1395465125562945,4036.252,871.830432
2000-01-03 22:00:00,6.930719737392516,3700.5818,799.3256688
2000-01-03 23:00:00,6.831007569465796,3540.091,764.6596559999999
2000-01-04 00:00:00,6.6924175404068365,3317.0696,716.4870336
2000-01-04 01:00:00,6.441395711797554,2947.4778,636.6552048000001
2000-01-04 02:00:00,6.200159778685968,2622.6456,566.4914495999999
2000-01-04 03:00:00,5.957863370222589,2302.808,497.406528
2000-01-04 04:00:00,5.8850697701785375,2207.12,476.73792
2000-01-04 05:00:00,5.7657541268180665,2050.304,442.865664
2000-01-04 06:00:00,5.671590632692358,1947.612,420.68419200000005
2000-01-04 07:00:00,5.582920928614204,1854.732,400.62211199999996
2000-01-04 08:00:00,5.3706507261369625,1632.508,352.621728
2000-01-04 09:00:00,5.182866814843046,1457.2816,314.7728256
2000-01-04 10:00:00,5.746001951307687,2025.442,437.495472
2000-01-04 11:00:00,6.397488427612392,2888.3068,623.8742688
2000-01-04 12:00:00,6.769338836550242,3440.941,743.243256
2000-01-04 13:00:00,6.9462191367074775,3725.5676,804.7226016
2000-01-04 14:00:00,6.932274636534642,3703.0936,799.8682176000001
2000-01-04 15:00:00,6.910658682271948,3668.325,792.3581999999999
2000-01-04 16:00:00,7.052615008861711,3896.596,841.6647360000001
2000-01-04 17:00:00,7.114596999978501,3996.256,863.191296
2000-01-04 18:00:00,7.155134709801318,4061.332,877.247712
2000-01-04 19:00:00,7.1851871957977,4109.644,887.6831040000001
2000-01-04 20:00:00,7.136264578881309,4030.972,870.6899520000001
2000-01-04 21:00:00,7.014016537259543,3834.556,828.264096
2000-01-04 22:00:00,6.903582083161987,3656.9558,789.9024528000001
2000-01-04 23:00:00,6.696469665764187,3323.6796,717.9147935999999
2000-01-05 00:00:00,6.654655926423515,3256.3898,703.3801968
2000-01-05 01:00:00,6.630042656973162,3216.7298,694.8136367999999
2000-01-05 02:00:00,6.69742451162114,3325.1338,718.2289008
2000-01-05 03:00:00,6.869398229334648,3601.9606,778.0234896
2000-01-05 04:00:00,7.04896038467516,3890.788,840.410208
2000-01-05 05:00:00,7.119198384065298,4003.648,864.787968
2000-01-05 06:00:00,7.189263943701099,4116.112,889.080192
2000-01-05 07:00:00,7.40239415074871,4460.1172,963.3853151999999
2000-01-05 08:00:00,7.678882677288356,4948.8604,1068.9538464
2000-01-05 09:00:00,7.980869762850829,5484.338,1184.617008
2000-01-05 10:00:00,8.266208417853841,5987.64,1293.33024
2000-01-05 11:00:00,8.420223918372864,6250.14,1350.03024
2000-01-05 12:00:00,8.323367505838734,6085.08,1314.37728
2000-01-05 13:00:00,8.20954395736723,5890.802,1272.4132319999999
2000-01-05 14:00:00,7.829789788127719,5215.844,1126.622304
2000-01-05 15:00:00,7.544561263458704,4711.4584,1017.6750144000001
2000-01-05 16:00:00,7.3481057534530425,4371.4,944.2223999999999
2000-01-05 17:00:00,7.266665359536262,4240.588,915.967008
2000-01-05 18:00:00,7.11587984897515,3998.236,863.618976
2000-01-05 19:00:00,6.921917760858777,3686.4364,796.2702624
2000-01-05 20:00:00,6.760744770135896,3427.06,740.24496
2000-01-05 21:00:00,6.7431820366575295,3398.7692,734.1341472
2000-01-05 22:00:00,6.721181537657879,3363.3396,726.4813535999999
2000-01-05 23:00:00,6.665337649268965,3273.5758,707.0923728
2000-01-06 00:00:00,6.733084386134451,3382.5086,730.6218576
2000-01-06 01:00:00,6.851578051638668,3573.2732,771.8270112
2000-01-06 02:00:00,7.032544726777897,3864.388,834.707808
2000-01-06 03:00:00,7.279047494847298,4260.388,920.243808
2000-01-06 04:00:00,7.645187465049803,4889.3284,1056.0949344
2000-01-06 05:00:00,7.914161517770653,5365.786,1159.009776
2000-01-06 06:00:00,8.01229610107873,5540.11,1196.66376
2000-01-06 07:00:00,8.192413942618174,5860.288,1265.8222079999998
2000-01-06 08:00:00,8.269987538379194,5994.08,1294.72128
2000-01-06 09:00:00,8.180074605076829,5838.388,1261.091808
2000-01-06 10:00:00,7.921038625342567,5378.05,1161.6588000000002
2000-01-06 11:00:00,7.67128224826356,4935.3568,1066.0370688
2000-01-06 12:00:00,7.587198324050835,4786.8172,1033.9525152
2000-01-06 13:00:00,7.743166425257088,5062.4068,1093.4798688
2000-01-06 14:00:00,7.621845613010907,4847.9464,1047.1564223999999
2000-01-06 15:00:00,7.279728808392999,4261.576,920.500416
2000-01-06 16:00:00,7.162608908038628,4073.344,879.842304
2000-01-06 17:00:00,7.151151905251933,4054.996,875.879136
2000-01-06 18:00:00,7.143359645018831,4042.456,873.1704960000001
2000-01-06 19:00:00,7.20471489525815,4141.06,894.46896
2000-01-06 20:00:00,7.390458808647969,4439.512,958.934592
2000-01-06 21:00:00,7.549878422242196,4720.7512,1019.6822592
2000-01-06 22:00:00,7.702376005951673,4990.3876,1077.9237216000001
2000-01-06 23:00:00,7.798416850836508,5160.1264,1114.5873024
2000-01-07 00:00:00,7.965865093171441,5457.62,1178.84592
2000-01-07 01:00:00,7.819010248013797,5196.718,1122.491088
2000-01-07 02:00:00,7.425333270901016,4500.628,972.135648
2000-01-07 03:00:00,7.805217767311425,5172.19,1117.1930399999999
2000-01-07 04:00:00,8.167100929423507,5815.32,1256.1091199999998
2000-01-07 05:00:00,8.274010551173363,6000.94,1296.2030399999999
2000-01-07 06:00:00,8.599627213366329,6555.9,1416.0744
2000-01-07 07:00:00,8.652227893573263,6645.435,1435.41396
2000-01-07 08:00:00,8.54827095781277,6468.4,1397.1743999999999
2000-01-07 09:00:00,8.499152671460081,6384.68,1379.0908800000002
2000-01-07 10:00:00,8.433107393673962,6272.12,1354.77792
2000-01-07 11:00:00,8.402397909589533,6219.76,1343.4681600000001
2000-01-07 12:00:00,8.246656602381648,5954.32,1286.13312
2000-01-07 13:00:00,8.149767798852041,5784.514,1249.4550239999999
2000-01-07 14:00:00,8.044791929107943,5597.926,1209.152016
2000-01-07 15:00:00,7.84062361038882,5235.116,1130.7850560000002
2000-01-07 16:00:00,7.584774590368722,4782.4612,1033.0116192
2000-01-07 17:00:00,7.314094286295197,4316.752,932.418432
2000-01-07 18:00:00,7.218791910662088,4163.632,899.3445119999999
2000-01-07 19:00:00,7.222136127462728,4169.044,900.513504
2000-01-07 20:00:00,7.201306061981508,4135.516,893.271456
2000-01-07 21:00:00,7.137706076155197,4033.348,871.2031679999999
2000-01-07 22:00:00,7.03924684416916,3875.08,837.01728
2000-01-07 23:00:00,6.954926122060063,3739.5808,807.7494528000001
2000-01-08 00:00:00,6.8766734409807055,3613.5942,780.5363471999999
2000-01-08 01:00:00,6.963064369095613,3752.6686,810.5764176
2000-01-08 02:00:00,7.139816903936924,4036.78,871.9444800000001
2000-01-08 03:00:00,7.009884537136941,3827.956,826.8384960000001
2000-01-08 04:00:00,6.544111974643181,3085.7278,666.5172048000001
2000-01-08 05:00:00,6.179260174085946,2594.4426,560.3996016
2000-01-08 06:00:00,6.100918479785856,2490.944,538.043904
2000-01-08 07:00:00,5.9432496082216195,2283.584,493.254144
2000-01-08 08:00:00,5.968150535946898,2316.416,500.345856
2000-01-08 09:00:00,6.276787975594019,2725.8354,588.7804464
2000-01-08 10:00:00,6.406991626300238,2901.1364,626.6454623999999
2000-01-08 11:00:00,6.316184808765907,2778.8128,600.2235648000001
2000-01-08 12:00:00,6.166043997384428,2576.7466,556.5772656
2000-01-08 13:00:00,5.984290618651188,2337.584,504.918144
2000-01-08 14:00:00,5.512661443656072,1781.202,384.739632
2000-01-08 15:00:00,5.1591536718145266,1435.7392,310.11966720000004
2000-01-08 16:00:00,5.1012965433734765,1383.0052,298.7291232
2000-01-08 17:00:00,5.51386795798954,1782.492,385.018272
2000-01-08 18:00:00,5.824105074299553,2126.984,459.428544
2000-01-08 19:00:00,5.9470238930733395,2288.552,494.32723200000004
2000-01-08 20:00:00,6.1376030508822215,2539.112,548.4481920000001
2000-01-08 21:00:00,6.419772745592264,2918.2794,630.3483504
2000-01-08 22:00:00,6.7471868872545055,3405.247,735.5333519999999
2000-01-08 23:00:00,6.913506899954005,3672.952,793.3576320000001
2000-01-09 00:00:00,7.240070266373652,4197.82,906.7291199999999
2000-01-09 01:00:00,7.741983724952294,5060.374,1093.040784
2000-01-09 02:00:00,7.741048778265843,5058.6316,1092.6644256
2000-01-09 03:00:00,7.689749786910699,4968.0268,1073.0937888
