Date,windspeed,Enercon E126/7580 OFF power at a hub height of 135.0 m (kW),101.0 turbines for Enercon E126/7580 OFF power at a hub height of 135.0 m (MW)
2000-01-01 00:00:00,7.840050951617965,3470.52,350.52252000000004
2000-01-01 01:00:00,7.946272748875784,3604.854,364.09025399999996
2000-01-01 02:00:00,8.047407544673389,3732.864,377.019264
2000-01-01 03:00:00,8.063837967674031,3754.032,379.157232
2000-01-01 04:00:00,8.214980618348816,3964.032,400.367232
2000-01-01 05:00:00,8.4063389172562,4229.92,427.22192
2000-01-01 06:00:00,8.488209267906235,4342.4,438.58239999999995
2000-01-01 07:00:00,8.817154922402649,4783.148,483.09794800000003
2000-01-01 08:00:00,9.133507348756991,5154.152,520.569352
2000-01-01 09:00:00,9.092042569447027,5106.772,515.7839720000001
2000-01-01 10:00:00,9.29165995581478,5333.584,538.6919839999999
2000-01-01 11:00:00,9.91311181768666,5979.229,603.9021290000001
2000-01-01 12:00:00,10.239232199673637,6282.679,634.550579
2000-01-01 13:00:00,10.24814552163375,6290.709,635.3616089999999
2000-01-01 14:00:00,10.129096801390675,6182.888,624.471688
2000-01-01 15:00:00,9.997276158980457,6059.617,612.0213170000001
2000-01-01 16:00:00,9.936350960280603,6001.405,606.1419050000001
2000-01-01 17:00:00,9.946652857046663,6011.261,607.137361
2000-01-01 18:00:00,9.75834018749658,5831.389,588.970289
2000-01-01 19:00:00,9.552744155801783,5618.528,567.471328
2000-01-01 20:00:00,9.281459134451898,5322.408,537.563208
2000-01-01 21:00:00,8.798679054220178,4758.416,480.600016
2000-01-01 22:00:00,8.628299725746889,4530.104,457.540504
2000-01-01 23:00:00,8.513625716231022,4376.528,442.029328
2000-01-02 00:00:00,8.354420412047821,4157.792,419.93699200000003
2000-01-02 01:00:00,8.130829695563552,3847.104,388.55750399999994
2000-01-02 02:00:00,8.082320739252085,3779.68,381.74768
2000-01-02 03:00:00,8.212099818540546,3960.0,399.96
2000-01-02 04:00:00,8.299019049370328,4080.736,412.154336
2000-01-02 05:00:00,8.463219382479227,4308.88,435.19688
2000-01-02 06:00:00,8.629974872899624,4532.372,457.76957200000004
2000-01-02 07:00:00,8.832592348168069,4803.884,485.192284
2000-01-02 08:00:00,8.811913108963774,4776.128,482.38892799999996
2000-01-02 09:00:00,8.670638442006315,4586.912,463.278112
2000-01-02 10:00:00,8.511478458272785,4373.612,441.73481200000003
2000-01-02 11:00:00,8.505990873514508,4366.268,440.99306800000005
2000-01-02 12:00:00,8.572408937908335,4455.26,449.98126
