Date,windspeed,Avera M5000-116 OFF power at a hub height of 90.0 m (kW),118.0 turbines for Avera M5000-116 OFF power at a hub height of 90.0 m (MW)
2000-01-01 00:00:00,7.2654959253702,1689.722,199.387196
2000-01-01 01:00:00,7.386910779458118,1774.46,209.38628
2000-01-01 02:00:00,7.454799096344093,1821.846,214.97782800000002
2000-01-01 03:00:00,7.471638326048887,1833.562,216.36031599999998
2000-01-01 04:00:00,7.569077377352973,1923.898,227.019964
2000-01-01 05:00:00,7.787140228855862,2131.115,251.47156999999999
2000-01-01 06:00:00,7.9537549640862535,2289.51,270.16218000000003
2000-01-01 07:00:00,8.217398613539544,2540.019,299.722242
2000-01-01 08:00:00,8.568511700401675,2932.428,346.02650399999993
2000-01-01 09:00:00,8.950705922338965,3381.9584,399.0710912
2000-01-01 10:00:00,9.33574517613786,3872.9504,457.0081472
2000-01-01 11:00:00,9.559986934002264,4181.5008,493.4170944
2000-01-01 12:00:00,9.867241190055307,4577.712,540.170016
2000-01-01 13:00:00,10.08940615137296,4773.8094,563.3095092
2000-01-01 14:00:00,10.138497055352119,4798.5132,566.2245576
2000-01-01 15:00:00,9.959341966913012,4696.4896,554.1857728
2000-01-01 16:00:00,9.759997868564003,4439.424,523.852032
2000-01-01 17:00:00,9.610684512032954,4246.8928,501.1333503999999
2000-01-01 18:00:00,9.491584937341171,4087.4504,482.31914720000003
2000-01-01 19:00:00,9.380427357223553,3934.4976,464.2707168
2000-01-01 20:00:00,9.240250793481463,3741.5048,441.4975664
2000-01-01 21:00:00,8.945859808993752,3376.2,398.3916
2000-01-01 22:00:00,8.601931326405884,2971.824,350.675232
2000-01-01 23:00:00,8.251021280190598,2572.014,303.497652
2000-01-02 00:00:00,7.950412464043138,2286.271,269.779978
2000-01-02 01:00:00,7.6516251995996125,2002.345,236.27670999999998
2000-01-02 02:00:00,7.415091415826082,1794.122,211.706396
2000-01-02 03:00:00,7.432863633072162,1806.534,213.17101200000002
2000-01-02 04:00:00,7.568859077518573,1923.661,226.99199800000002
2000-01-02 05:00:00,7.713091995065542,2060.726,243.165668
2000-01-02 06:00:00,7.833123199560608,2174.802,256.626636
2000-01-02 07:00:00,8.027468553523065,2359.504,278.421472
2000-01-02 08:00:00,7.983436631799013,2317.713,273.490134
2000-01-02 09:00:00,7.888136158422648,2227.1,262.7978
2000-01-02 10:00:00,7.782513206084393,2126.691,250.94953799999996
2000-01-02 11:00:00,7.73307033203753,2079.765,245.41226999999998
2000-01-02 12:00:00,7.7194504222870215,2066.809,243.88346200000004
2000-01-02 13:00:00,7.759573934203397,2104.887,248.37666600000003
2000-01-02 14:00:00,7.574913322703973,1929.428,227.672504
2000-01-02 15:00:00,7.433225201014383,1806.766,213.198388
2000-01-02 16:00:00,7.528123928652582,1884.951,222.424218
2000-01-02 17:00:00,7.785446669112687,2129.535,251.28512999999998
2000-01-02 18:00:00,8.183179156396914,2507.55,295.89090000000004
2000-01-02 19:00:00,8.348866194376452,2673.414,315.462852
2000-01-02 20:00:00,8.391177270722181,2723.296,321.34892799999994
2000-01-02 21:00:00,8.413633714332171,2749.756,324.471208
2000-01-02 22:00:00,8.441994311282448,2783.272,328.42609600000003
2000-01-02 23:00:00,8.558174142078197,2920.178,344.58100399999995
2000-01-03 00:00:00,8.910913283396399,3335.208,393.554544
2000-01-03 01:00:00,9.30440718604666,3829.8216,451.9189488
