Date,windspeed,Enercon E126/7580 OFF power at a hub height of 135.0 m (kW),78.0 turbines for Enercon E126/7580 OFF power at a hub height of 135.0 m (MW)
2000-01-01 00:00:00,7.2654959253702,2714.256,211.71196799999998
2000-01-01 01:00:00,7.386910779458118,2876.904,224.39851199999998
2000-01-01 02:00:00,7.454799096344093,2967.84,231.49152
2000-01-01 03:00:00,7.471638326048887,2990.412,233.252136
2000-01-01 04:00:00,7.569077377352973,3120.984,243.436752
2000-01-01 05:00:00,7.787140228855862,3403.506,265.47346799999997
2000-01-01 06:00:00,7.9537549640862535,3614.34,281.91852
2000-01-01 07:00:00,8.217398613539544,3967.392,309.456576
2000-01-01 08:00:00,8.568511700401675,4450.076,347.105928
2000-01-01 09:00:00,8.950705922338965,4945.496,385.748688
2000-01-01 10:00:00,9.33574517613786,5381.72,419.77416000000005
2000-01-01 11:00:00,9.559986934002264,5626.448,438.862944
2000-01-01 12:00:00,9.867241190055307,5935.416,462.96244800000005
2000-01-01 13:00:00,10.08940615137296,6146.972,479.463816
2000-01-01 14:00:00,10.138497055352119,6191.429,482.931462
2000-01-01 15:00:00,9.959341966913012,6023.427,469.82730599999996
2000-01-01 16:00:00,9.759997868564003,5833.006,454.97446800000006
2000-01-01 17:00:00,9.610684512032954,5681.8,443.1804
2000-01-01 18:00:00,9.491584937341171,5551.824,433.042272
2000-01-01 19:00:00,9.380427357223553,5430.472,423.576816
2000-01-01 20:00:00,9.240250793481463,5275.96,411.52488
2000-01-01 21:00:00,8.945859808993752,4939.976,385.31812799999994
2000-01-01 22:00:00,8.601931326405884,4494.788,350.593464
2000-01-01 23:00:00,8.251021280190598,4014.096,313.099488
2000-01-02 00:00:00,7.950412464043138,3610.158,281.59232399999996
2000-01-02 01:00:00,7.6516251995996125,3231.576,252.06292800000003
2000-01-02 02:00:00,7.415091415826082,2914.704,227.346912
2000-01-02 03:00:00,7.432863633072162,2938.464,229.200192
2000-01-02 04:00:00,7.568859077518573,3120.66,243.41147999999998
2000-01-02 05:00:00,7.713091995065542,3309.87,258.16985999999997
2000-01-02 06:00:00,7.833123199560608,3461.748,270.016344
2000-01-02 07:00:00,8.027468553523065,3707.67,289.19826
2000-01-02 08:00:00,7.983436631799013,3651.876,284.846328
2000-01-02 09:00:00,7.888136158422648,3531.312,275.442336
2000-01-02 10:00:00,7.782513206084393,3397.692,265.01997600000004
2000-01-02 11:00:00,7.73307033203753,3335.166,260.142948
2000-01-02 12:00:00,7.7194504222870215,3317.928,258.798384
2000-01-02 13:00:00,7.759573934203397,3368.622,262.752516
2000-01-02 14:00:00,7.574913322703973,3128.868,244.051704
2000-01-02 15:00:00,7.433225201014383,2939.004,229.242312
2000-01-02 16:00:00,7.528123928652582,3066.12,239.15735999999998
2000-01-02 17:00:00,7.785446669112687,3401.364,265.306392
2000-01-02 18:00:00,8.183179156396914,3919.792,305.743776
2000-01-02 19:00:00,8.348866194376452,4150.064,323.704992
2000-01-02 20:00:00,8.391177270722181,4208.864,328.291392
2000-01-02 21:00:00,8.413633714332171,4240.0,330.72
2000-01-02 22:00:00,8.441994311282448,4279.424,333.795072
2000-01-02 23:00:00,8.558174142078197,4436.144,346.01923200000004
2000-01-03 00:00:00,8.910913283396399,4900.048,382.20374400000003
2000-01-03 01:00:00,9.30440718604666,5347.488,417.104064
2000-01-03 02:00:00,9.6750478349161,5751.848,448.644144
2000-01-03 03:00:00,9.844813417750832,5914.01,461.29278000000005
2000-01-03 04:00:00,10.090562918680904,6147.994,479.54353199999997
2000-01-03 05:00:00,10.115604476662984,6170.697,481.31436600000006
2000-01-03 06:00:00,9.904755690869957,5971.221,465.75523799999996
2000-01-03 07:00:00,9.49120278076406,5551.384,433.007952
2000-01-03 08:00:00,9.055644984348074,5065.28,395.09184
2000-01-03 09:00:00,8.709651196139125,4639.184,361.856352
2000-01-03 10:00:00,8.859576705399828,4839.956,377.516568
2000-01-03 11:00:00,8.864718778616053,4846.868,378.05570400000005
2000-01-03 12:00:00,8.737694719497515,4676.66,364.77948
2000-01-03 13:00:00,8.473656081163046,4322.96,337.19088
2000-01-03 14:00:00,8.289042900828644,4066.96,317.22288000000003
2000-01-03 15:00:00,8.147014477002974,3869.616,301.83004800000003
2000-01-03 16:00:00,8.021546342543074,3700.122,288.609516
2000-01-03 17:00:00,7.997304704020028,3669.522,286.222716
2000-01-03 18:00:00,7.9252455476896095,3578.334,279.11005199999994
2000-01-03 19:00:00,7.671456889931655,3257.136,254.056608
2000-01-03 20:00:00,7.27213878861879,2723.112,212.402736
2000-01-03 21:00:00,6.979055838048838,2426.32,189.25296000000003
2000-01-03 22:00:00,6.710685035942898,2159.92,168.47376
2000-01-03 23:00:00,6.420646042107303,1877.315,146.43057000000002
2000-01-04 00:00:00,6.1796431414665145,1683.03,131.27634
2000-01-04 01:00:00,5.935512106674643,1486.145,115.91931
2000-01-04 02:00:00,5.779385316153563,1360.24,106.09872
2000-01-04 03:00:00,5.677001508995563,1277.69,99.65982000000001
2000-01-04 04:00:00,5.6475949396302045,1253.965,97.80926999999998
2000-01-04 05:00:00,5.597348565172155,1222.462,95.352036
2000-01-04 06:00:00,5.69304420739438,1290.625,100.66875
2000-01-04 07:00:00,5.991030546401834,1530.93,119.41254
2000-01-04 08:00:00,6.289208315439707,1771.365,138.16647
2000-01-04 09:00:00,6.623617187870626,2073.52,161.73456
2000-01-04 10:00:00,6.877507527505608,2325.52,181.39056
2000-01-04 11:00:00,7.100763309430192,2547.04,198.66912
2000-01-04 12:00:00,7.201386080276543,2646.96,206.46288
2000-01-04 13:00:00,7.222983502088741,2668.4,208.1352
2000-01-04 14:00:00,7.232184648662227,2677.52,208.84656
2000-01-04 15:00:00,7.0608701916116345,2507.52,195.58656
2000-01-04 16:00:00,6.903731381505409,2351.52,183.41855999999999
2000-01-04 17:00:00,6.891106689811252,2339.04,182.44512
2000-01-04 18:00:00,6.9648313385877465,2412.16,188.14847999999998
2000-01-04 19:00:00,7.0179367568137945,2464.88,192.26064000000002
2000-01-04 20:00:00,6.963592022899903,2410.96,188.05488
2000-01-04 21:00:00,6.9839231881372985,2431.12,189.62735999999998
2000-01-04 22:00:00,6.996579943966912,2443.68,190.60703999999998
2000-01-04 23:00:00,6.953455766302392,2400.88,187.26864
2000-01-05 00:00:00,6.9157436239262156,2363.44,184.34832
2000-01-05 01:00:00,6.907404559421396,2355.2,183.70559999999998
2000-01-05 02:00:00,6.886732012881362,2334.64,182.10191999999998
2000-01-05 03:00:00,6.980408233455671,2427.6,189.3528
2000-01-05 04:00:00,7.1244348786311695,2570.56,200.50368
2000-01-05 05:00:00,7.297834294106204,2757.564,215.089992
2000-01-05 06:00:00,7.38320016692934,2871.936,224.011008
2000-01-05 07:00:00,7.618810543935531,3187.62,248.63436
2000-01-05 08:00:00,7.973682065962741,3639.534,283.883652
2000-01-05 09:00:00,8.340438596372262,4138.304,322.787712
2000-01-05 10:00:00,8.743572406881675,4684.544,365.394432
2000-01-05 11:00:00,8.972077208787773,4969.876,387.65032800000006
2000-01-05 12:00:00,9.035920643158947,5042.74,393.33371999999997
2000-01-05 13:00:00,8.85074414051766,4828.184,376.59835200000003
2000-01-05 14:00:00,8.54579990604203,4419.62,344.73035999999996
2000-01-05 15:00:00,8.229111815663407,3983.632,310.723296
2000-01-05 16:00:00,8.075976826157646,3770.832,294.12489600000004
2000-01-05 17:00:00,7.977319392353502,3644.226,284.24962800000003
2000-01-05 18:00:00,7.769842191888207,3381.678,263.77088399999997
2000-01-05 19:00:00,7.443072426933359,2952.18,230.27003999999997
2000-01-05 20:00:00,7.172451607995706,2618.24,204.22271999999998
2000-01-05 21:00:00,6.943965423735232,2391.44,186.53232
