Date,windspeed,MHI Vestas V164/9500 OFF power at a hub height of 105.0 m (kW),46.0 turbines for MHI Vestas V164/9500 OFF power at a hub height of 105.0 m (MW)
2000-01-01 00:00:00,7.445647401534377,4536.4924,208.6786504
2000-01-01 01:00:00,7.5225555749270185,4672.5448,214.93706079999998
2000-01-01 02:00:00,7.529370626926508,4684.5964,215.49143440000003
2000-01-01 03:00:00,7.5166788512651515,4662.0904,214.45615840000002
2000-01-01 04:00:00,7.365450822282777,4399.252,202.365592
2000-01-01 05:00:00,7.176818522280612,4096.18,188.42428000000004
2000-01-01 06:00:00,7.199410223247957,4132.48,190.09408
2000-01-01 07:00:00,7.444722544959447,4534.8952,208.60517919999998
2000-01-01 08:00:00,7.853543684866564,5258.038,241.869748
2000-01-01 09:00:00,8.330803458438206,6097.82,280.49971999999997
2000-01-01 10:00:00,8.716089241348696,6754.1994,310.69317240000004
2000-01-01 11:00:00,9.008807200174656,7252.3068,333.6061128
2000-01-01 12:00:00,9.248470966762142,7640.6048,351.46782079999997
2000-01-01 13:00:00,9.210161602978287,7578.8674,348.6279004
2000-01-01 14:00:00,8.914595187282426,7091.9562,326.2299852
2000-01-01 15:00:00,8.837664770751381,6961.1034,320.21075640000004
2000-01-01 16:00:00,8.698895965508553,6724.9812,309.34913520000003
2000-01-01 17:00:00,8.498008971642879,6382.72,293.60512
2000-01-01 18:00:00,8.269971783694372,5994.08,275.72768
2000-01-01 19:00:00,8.306095628838376,6055.68,278.56128
2000-01-01 20:00:00,8.375726411525887,6174.4,284.02239999999995
2000-01-01 21:00:00,8.259314199779558,5975.88,274.89047999999997
2000-01-01 22:00:00,8.028792813493604,5569.456,256.194976
2000-01-01 23:00:00,7.816186543462369,5191.608,238.813968
2000-01-02 00:00:00,7.603725179297548,4816.0024,221.5361104
2000-01-02 01:00:00,7.2670271570769405,4241.116,195.091336
2000-01-02 02:00:00,7.049100800835159,3890.92,178.98232000000002
2000-01-02 03:00:00,7.003595473596668,3817.792,175.618432
2000-01-02 04:00:00,7.1442491362742135,4043.908,186.01976799999997
2000-01-02 05:00:00,7.356298130748779,4384.6,201.6916
2000-01-02 06:00:00,7.528631457286407,4683.2896,215.4313216
2000-01-02 07:00:00,7.796186078451423,5156.206,237.185476
2000-01-02 08:00:00,7.981169402030037,5484.922,252.306412
2000-01-02 09:00:00,7.810692354423634,5181.826,238.36399600000001
2000-01-02 10:00:00,7.696152507043707,4979.3524,229.05021039999997
2000-01-02 11:00:00,7.583124381785476,4779.5572,219.8596312
2000-01-02 12:00:00,7.300223137261463,4294.444,197.54442400000002
2000-01-02 13:00:00,6.803883400600487,3496.465,160.83739000000003
2000-01-02 14:00:00,6.348902891040398,2822.9422,129.8553412
2000-01-02 15:00:00,6.183317515546513,2599.9726,119.5987396
2000-01-02 16:00:00,6.496701976595343,3021.9116,139.0079336
2000-01-02 17:00:00,6.790416241900423,3474.7842,159.8400732
2000-01-02 18:00:00,6.937305666501932,3711.1578,170.7132588
2000-01-02 19:00:00,7.1189683275491005,4003.252,184.149592
2000-01-02 20:00:00,7.653720015307673,4904.284,225.597064
2000-01-02 21:00:00,7.932467580800191,5398.344,248.323824
2000-01-02 22:00:00,7.727865769923563,5035.3996,231.62838159999998
2000-01-02 23:00:00,7.911217708550563,5360.53,246.58437999999998
2000-01-03 00:00:00,8.120966533914624,5733.268,263.730328
2000-01-03 01:00:00,8.402842739611485,6220.6,286.1476
2000-01-03 02:00:00,8.496644617713004,6380.48,293.50208
2000-01-03 03:00:00,8.538110592373398,6451.04,296.74784000000005
2000-01-03 04:00:00,8.83298073736214,6953.1348,319.8442008
2000-01-03 05:00:00,9.01472007096407,7262.3724,334.0691304
2000-01-03 06:00:00,8.854878110232313,6990.3216,321.55479360000004
2000-01-03 07:00:00,8.760761919093996,6830.2506,314.19152760000003
2000-01-03 08:00:00,8.692417900115379,6713.937,308.84110200000003
2000-01-03 09:00:00,8.71356945524947,6749.8656,310.4938176
2000-01-03 10:00:00,8.532746926470676,6441.94,296.32923999999997
2000-01-03 11:00:00,8.341879535396382,6116.72,281.36912
2000-01-03 12:00:00,8.141023157968082,5768.892,265.369032
2000-01-03 13:00:00,8.002661448720763,5523.028,254.059288
2000-01-03 14:00:00,7.679410421177917,4949.7316,227.6876536
2000-01-03 15:00:00,7.509794910987967,4649.8936,213.89510560000002
2000-01-03 16:00:00,7.567695357123562,4752.2596,218.6039416
2000-01-03 17:00:00,7.526378945648764,4679.224,215.244304
2000-01-03 18:00:00,7.443059896647157,4531.9912,208.47159520000002
2000-01-03 19:00:00,7.327528699021065,4338.4,199.5664
2000-01-03 20:00:00,7.254860686001629,4221.58,194.19268
2000-01-03 21:00:00,7.1395465125562945,4036.252,185.667592
2000-01-03 22:00:00,6.930719737392516,3700.5818,170.2267628
2000-01-03 23:00:00,6.831007569465796,3540.091,162.84418599999998
2000-01-04 00:00:00,6.6924175404068365,3317.0696,152.5852016
2000-01-04 01:00:00,6.441395711797554,2947.4778,135.5839788
2000-01-04 02:00:00,6.200159778685968,2622.6456,120.64169759999999
2000-01-04 03:00:00,5.957863370222589,2302.808,105.929168
2000-01-04 04:00:00,5.8850697701785375,2207.12,101.52752
2000-01-04 05:00:00,5.7657541268180665,2050.304,94.31398399999999
2000-01-04 06:00:00,5.671590632692358,1947.612,89.590152
2000-01-04 07:00:00,5.582920928614204,1854.732,85.31767199999999
2000-01-04 08:00:00,5.3706507261369625,1632.508,75.09536800000001
2000-01-04 09:00:00,5.182866814843046,1457.2816,67.03495360000001
2000-01-04 10:00:00,5.746001951307687,2025.442,93.170332
2000-01-04 11:00:00,6.397488427612392,2888.3068,132.8621128
2000-01-04 12:00:00,6.769338836550242,3440.941,158.283286
2000-01-04 13:00:00,6.9462191367074775,3725.5676,171.3761096
2000-01-04 14:00:00,6.932274636534642,3703.0936,170.34230560000003
2000-01-04 15:00:00,6.910658682271948,3668.325,168.74294999999998
2000-01-04 16:00:00,7.052615008861711,3896.596,179.243416
2000-01-04 17:00:00,7.114596999978501,3996.256,183.82777599999997
2000-01-04 18:00:00,7.155134709801318,4061.332,186.821272
2000-01-04 19:00:00,7.1851871957977,4109.644,189.04362400000002
2000-01-04 20:00:00,7.136264578881309,4030.972,185.424712
2000-01-04 21:00:00,7.014016537259543,3834.556,176.389576
2000-01-04 22:00:00,6.903582083161987,3656.9558,168.2199668
2000-01-04 23:00:00,6.696469665764187,3323.6796,152.8892616
2000-01-05 00:00:00,6.654655926423515,3256.3898,149.7939308
2000-01-05 01:00:00,6.630042656973162,3216.7298,147.9695708
2000-01-05 02:00:00,6.69742451162114,3325.1338,152.95615479999998
2000-01-05 03:00:00,6.869398229334648,3601.9606,165.6901876
2000-01-05 04:00:00,7.04896038467516,3890.788,178.976248
2000-01-05 05:00:00,7.119198384065298,4003.648,184.167808
2000-01-05 06:00:00,7.189263943701099,4116.112,189.341152
2000-01-05 07:00:00,7.40239415074871,4460.1172,205.1653912
