Date,windspeed,Avera M5000-116 OFF power at a hub height of 90.0 m (kW),135.0 turbines for Avera M5000-116 OFF power at a hub height of 90.0 m (MW)
2000-01-01 00:00:00,7.4429598841268945,1813.552,244.82952
2000-01-01 01:00:00,7.626052832889265,1978.013,267.03175500000003
2000-01-01 02:00:00,7.704839330356176,2052.905,277.14217500000007
2000-01-01 03:00:00,7.765649366624234,2110.733,284.948955
2000-01-01 04:00:00,7.885059964531408,2224.177,300.263895
2000-01-01 05:00:00,8.096195130710385,2424.837,327.352995
2000-01-01 06:00:00,8.257655710520753,2578.334,348.07509
2000-01-01 07:00:00,8.545994770914751,2905.87,392.29245000000003
2000-01-01 08:00:00,8.913877568362569,3338.7216,450.72741599999995
2000-01-01 09:00:00,9.24118555825166,3742.7632,505.273032
2000-01-01 10:00:00,9.421650606023432,3991.24,538.8174
2000-01-01 11:00:00,9.619745477044498,4258.5776,574.907976
2000-01-01 12:00:00,10.186306927472131,4822.5482,651.044007
2000-01-01 13:00:00,10.348294307197564,4904.0164,662.0422140000001
2000-01-01 14:00:00,10.343281631697591,4901.4666,661.6979909999999
2000-01-01 15:00:00,10.218890520210053,4838.9338,653.2560629999999
2000-01-01 16:00:00,10.07611258051918,4767.1214,643.561389
2000-01-01 17:00:00,10.001708675555957,4729.7104,638.510904
2000-01-01 18:00:00,9.865381363784923,4575.3536,617.672736
2000-01-01 19:00:00,9.737957161115466,4411.016,595.4871599999999
2000-01-01 20:00:00,9.559737865612318,4181.1792,564.4591919999999
2000-01-01 21:00:00,9.23353931708746,3732.2384,503.852184
2000-01-01 22:00:00,8.926102810064078,3353.0688,452.664288
2000-01-01 23:00:00,8.527587149017688,2884.114,389.35539
2000-01-02 00:00:00,8.222908824609926,2545.312,343.61712
2000-01-02 01:00:00,7.937158623230058,2273.71,306.95085
2000-01-02 02:00:00,7.721995400724249,2069.179,279.33916500000004
2000-01-02 03:00:00,7.767050027664375,2111.997,285.11959499999995
2000-01-02 04:00:00,7.909787318685957,2247.719,303.442065
2000-01-02 05:00:00,8.093109511684688,2421.914,326.95839
2000-01-02 06:00:00,8.21290170865566,2535.753,342.326655
2000-01-02 07:00:00,8.306697169601216,2624.944,354.36744
2000-01-02 08:00:00,8.226979131580176,2549.183,344.139705
2000-01-02 09:00:00,8.15467689509883,2480.453,334.861155
2000-01-02 10:00:00,8.043063367275277,2374.356,320.53806000000003
2000-01-02 11:00:00,7.996905520884337,2330.511,314.618985
2000-01-02 12:00:00,8.016159000176852,2348.76,317.0826
2000-01-02 13:00:00,8.136376755621205,2463.073,332.51485499999995
2000-01-02 14:00:00,8.037098827103952,2368.668,319.77018
2000-01-02 15:00:00,7.916601677878416,2254.197,304.316595
2000-01-02 16:00:00,8.00188625228171,2335.251,315.258885
2000-01-02 17:00:00,8.260949993593924,2581.415,348.49102500000004
2000-01-02 18:00:00,8.672700005058688,3055.222,412.45497
2000-01-02 19:00:00,8.770989190398812,3170.9472,428.077872
2000-01-02 20:00:00,8.63200400947307,3007.202,405.97227000000004
2000-01-02 21:00:00,8.64428308799907,3021.706,407.93031
2000-01-02 22:00:00,8.662620787005576,3043.364,410.85414000000003
2000-01-02 23:00:00,8.854997841084277,3269.5232,441.385632
2000-01-03 00:00:00,9.127255770555653,3589.2608,484.550208
2000-01-03 01:00:00,9.604314010164703,4238.6384,572.216184
2000-01-03 02:00:00,10.216383969769575,4837.6798,653.0867729999999
2000-01-03 03:00:00,10.412384633076096,4929.035,665.419725
2000-01-03 04:00:00,10.696386923353842,4980.29,672.33915
2000-01-03 05:00:00,10.66921785259824,4975.385,671.676975
2000-01-03 06:00:00,10.278634845747488,4868.988,657.31338
2000-01-03 07:00:00,9.691050566412883,4350.5552,587.3249519999999
2000-01-03 08:00:00,9.181564594454288,3660.7384,494.199684
2000-01-03 09:00:00,8.93753667411589,3366.44,454.4694
2000-01-03 10:00:00,9.18989062561433,3672.1784,495.744084
2000-01-03 11:00:00,9.351405038833676,3894.4576,525.7517760000001
2000-01-03 12:00:00,9.270675384680144,3783.3752,510.755652
2000-01-03 13:00:00,8.988760401695991,3426.6592,462.598992
2000-01-03 14:00:00,8.768430676002867,3167.9216,427.669416
2000-01-03 15:00:00,8.57276748861261,2937.426,396.55251
2000-01-03 16:00:00,8.374126111043754,2703.206,364.93281
2000-01-03 17:00:00,8.298985277640842,2617.597,353.37559500000003
2000-01-03 18:00:00,8.153560466998325,2479.347,334.71184500000004
2000-01-03 19:00:00,7.885801223479475,2224.888,300.35988000000003
2000-01-03 20:00:00,7.520891305353994,1878.078,253.54053
2000-01-03 21:00:00,7.2607992283156575,1686.474,227.67399
2000-01-03 22:00:00,6.9769946313047075,1488.1916,200.905866
2000-01-03 23:00:00,6.681024936204455,1280.9996,172.93494600000002
2000-01-04 00:00:00,6.3846483908252765,1112.9896,150.25359600000002
2000-01-04 01:00:00,6.141678630909067,979.3384,132.21068400000001
2000-01-04 02:00:00,5.95831826446149,878.7448,118.630548
2000-01-04 03:00:00,5.87376263318467,832.3696,112.369896
2000-01-04 04:00:00,5.774907538274813,784.4984,105.907284
2000-01-04 05:00:00,5.717772996058202,761.5526,102.809601
2000-01-04 06:00:00,6.04917707488092,928.5856,125.359056
2000-01-04 07:00:00,6.433903423462545,1140.149,153.92011499999998
2000-01-04 08:00:00,6.668488487349843,1272.2114,171.748539
2000-01-04 09:00:00,6.940298260672924,1462.5254,197.440929
2000-01-04 10:00:00,7.126389136094532,1592.688,215.01288
2000-01-04 11:00:00,7.2910697346337425,1707.586,230.52411
2000-01-04 12:00:00,7.359846980224228,1755.552,236.99952
2000-01-04 13:00:00,7.369759142478152,1762.512,237.93912
2000-01-04 14:00:00,7.412899274122423,1792.614,242.00289
2000-01-04 15:00:00,7.223249742037373,1660.258,224.13483000000002
2000-01-04 16:00:00,7.061545551548692,1547.4392,208.90429200000003
2000-01-04 17:00:00,7.108873166720594,1580.45,213.36075
2000-01-04 18:00:00,7.1590921148546265,1615.482,218.09007
2000-01-04 19:00:00,7.192273342053605,1638.624,221.21424
2000-01-04 20:00:00,7.165811580884251,1620.18,218.72430000000003
2000-01-04 21:00:00,7.183976242491537,1632.882,220.43907000000002
2000-01-04 22:00:00,7.204367207254043,1647.092,222.35742000000002
2000-01-04 23:00:00,7.196381997841747,1641.524,221.60574
2000-01-05 00:00:00,7.227695343309487,1663.39,224.55765000000002
2000-01-05 01:00:00,7.284754177361725,1703.178,229.92903000000004
2000-01-05 02:00:00,7.350913432439388,1749.346,236.16171
2000-01-05 03:00:00,7.466465038067058,1829.966,247.04540999999998
2000-01-05 04:00:00,7.566169743701769,1921.133,259.352955
2000-01-05 05:00:00,7.7608147290876435,2106.072,284.31972
2000-01-05 06:00:00,7.7948861016162825,2138.462,288.69237
2000-01-05 07:00:00,7.9308274110144605,2267.706,306.14031
2000-01-05 08:00:00,8.244796752963392,2566.089,346.422015
2000-01-05 09:00:00,8.53617645798186,2894.306,390.73131
2000-01-05 10:00:00,8.895710631608656,3317.3472,447.841872
2000-01-05 11:00:00,9.185055605539446,3665.5432,494.84833199999997
2000-01-05 12:00:00,9.197470773105543,3682.5888,497.149488
2000-01-05 13:00:00,8.9864456327036,3423.9264,462.23006399999997
2000-01-05 14:00:00,8.71449238901809,3104.516,419.10966
2000-01-05 15:00:00,8.473169826578719,2820.022,380.70297
2000-01-05 16:00:00,8.381599809796834,2712.026,366.12350999999995
2000-01-05 17:00:00,8.278476561830253,2598.084,350.74134
2000-01-05 18:00:00,8.121943293302982,2449.327,330.659145
2000-01-05 19:00:00,7.827199787682796,2169.193,292.84105500000004
2000-01-05 20:00:00,7.5168805869993225,1874.286,253.02861000000001
2000-01-05 21:00:00,7.257131253833362,1683.922,227.32947000000001
2000-01-05 22:00:00,7.166523850966763,1620.702,218.79477
2000-01-05 23:00:00,7.19468975178403,1640.364,221.44914
2000-01-06 00:00:00,7.396194942341426,1780.956,240.42906
2000-01-06 01:00:00,7.6565806506525265,2007.006,270.94581
2000-01-06 02:00:00,7.866756778845434,2206.797,297.917595
2000-01-06 03:00:00,8.050819228762032,2381.703,321.529905
2000-01-06 04:00:00,8.370866790783907,2699.384,364.41684000000004
2000-01-06 05:00:00,8.66676537607179,3048.264,411.51564
2000-01-06 06:00:00,8.809686754674797,3216.3312,434.204712
2000-01-06 07:00:00,9.01200576579124,3453.8896,466.275096
2000-01-06 08:00:00,9.307419184961589,3833.94,517.5819
2000-01-06 09:00:00,9.304579395517138,3830.0504,517.056804
2000-01-06 10:00:00,9.147386648073264,3613.72,487.8521999999999
2000-01-06 11:00:00,9.097145884032855,3553.832,479.76732
2000-01-06 12:00:00,9.17350520066265,3649.6416,492.701616
2000-01-06 13:00:00,9.294034152831896,3815.5216,515.095416
2000-01-06 14:00:00,9.241430615615313,3743.1064,505.319364
2000-01-06 15:00:00,9.250838073169136,3756.148,507.07998000000003
2000-01-06 16:00:00,9.074273282305956,3526.992,476.14392000000004
2000-01-06 17:00:00,8.93722088529322,3366.0496,454.416696
2000-01-06 18:00:00,8.832265632362812,3242.8784,437.788584
2000-01-06 19:00:00,8.816788631039696,3224.7248,435.337848
2000-01-06 20:00:00,8.858358051725991,3273.5248,441.925848
2000-01-06 21:00:00,8.907107872667448,3330.7184,449.64698400000003
2000-01-06 22:00:00,8.904309673076769,3327.4976,449.21217600000006
