Date,windspeed,Enercon E126/7580 OFF power at a hub height of 135.0 m (kW),89.0 turbines for Enercon E126/7580 OFF power at a hub height of 135.0 m (MW)
2000-01-01 00:00:00,7.4429598841268945,2952.072,262.734408
2000-01-01 01:00:00,7.626052832889265,3197.34,284.56326
2000-01-01 02:00:00,7.704839330356176,3299.364,293.643396
2000-01-01 03:00:00,7.765649366624234,3376.374,300.497286
2000-01-01 04:00:00,7.885059964531408,3527.436,313.941804
2000-01-01 05:00:00,8.096195130710385,3798.944,338.106016
2000-01-01 06:00:00,8.257655710520753,4023.28,358.07192000000003
2000-01-01 07:00:00,8.545994770914751,4419.836,393.365404
2000-01-01 08:00:00,8.913877568362569,4903.452,436.407228
2000-01-01 09:00:00,9.24118555825166,5276.972,469.65050799999995
2000-01-01 10:00:00,9.421650606023432,5475.44,487.31415999999996
2000-01-01 11:00:00,9.619745477044498,5691.744,506.56521599999996
2000-01-01 12:00:00,10.186306927472131,6234.718,554.889902
2000-01-01 13:00:00,10.348294307197564,6381.448,567.9488719999999
2000-01-01 14:00:00,10.343281631697591,6376.922,567.546058
2000-01-01 15:00:00,10.218890520210053,6264.21,557.5146900000001
2000-01-01 16:00:00,10.07611258051918,6134.923,546.008147
2000-01-01 17:00:00,10.001708675555957,6063.852,539.682828
2000-01-01 18:00:00,9.865381363784923,5933.645,528.094405
2000-01-01 19:00:00,9.737957161115466,5811.908,517.259812
2000-01-01 20:00:00,9.559737865612318,5626.184,500.730376
2000-01-01 21:00:00,9.23353931708746,5268.324,468.88083599999993
2000-01-01 22:00:00,8.926102810064078,4917.436,437.65180399999997
2000-01-01 23:00:00,8.527587149017688,4395.212,391.173868
2000-01-02 00:00:00,8.222908824609926,3975.008,353.775712
2000-01-02 01:00:00,7.937158623230058,3593.328,319.80619199999995
2000-01-02 02:00:00,7.721995400724249,3321.09,295.57701000000003
2000-01-02 03:00:00,7.767050027664375,3378.108,300.651612
2000-01-02 04:00:00,7.909787318685957,3558.75,316.72875
2000-01-02 05:00:00,8.093109511684688,3794.688,337.727232
2000-01-02 06:00:00,8.21290170865566,3961.12,352.53968
2000-01-02 07:00:00,8.306697169601216,4091.488,364.142432
2000-01-02 08:00:00,8.226979131580176,3980.72,354.28407999999996
2000-01-02 09:00:00,8.15467689509883,3880.256,345.342784
2000-01-02 10:00:00,8.043063367275277,3727.356,331.734684
2000-01-02 11:00:00,7.996905520884337,3669.012,326.54206800000003
2000-01-02 12:00:00,8.016159000176852,3693.288,328.702632
2000-01-02 13:00:00,8.136376755621205,3854.832,343.08004800000003
2000-01-02 14:00:00,8.037098827103952,3719.808,331.062912
2000-01-02 15:00:00,7.916601677878416,3567.318,317.491302
2000-01-02 16:00:00,8.00188625228171,3675.234,327.095826
2000-01-02 17:00:00,8.260949993593924,4027.872,358.480608
2000-01-02 18:00:00,8.672700005058688,4589.612,408.475468
2000-01-02 19:00:00,8.770989190398812,4721.264,420.192496
2000-01-02 20:00:00,8.63200400947307,4535.072,403.621408
2000-01-02 21:00:00,8.64428308799907,4551.596,405.09204399999993
2000-01-02 22:00:00,8.662620787005576,4576.112,407.27396799999997
2000-01-02 23:00:00,8.854997841084277,4833.908,430.21781200000004
2000-01-03 00:00:00,9.127255770555653,5146.976,458.08086399999996
2000-01-03 01:00:00,9.604314010164703,5674.848,505.061472
