Date,windspeed,Enercon E126/7580 OFF power at a hub height of 135.0 m (kW),48.0 turbines for Enercon E126/7580 OFF power at a hub height of 135.0 m (MW)
2000-01-01 00:00:00,8.761808569031114,4709.06,226.03488000000002
2000-01-01 01:00:00,8.815481143279898,4780.88,229.48224
2000-01-01 02:00:00,9.102641504571631,5118.916,245.707968
2000-01-01 03:00:00,9.18491220879041,5212.756,250.212288
2000-01-01 04:00:00,9.245437778556528,5281.848,253.528704
2000-01-01 05:00:00,9.454399682662638,5511.168,264.536064
2000-01-01 06:00:00,9.58083771491512,5649.24,271.16352
2000-01-01 07:00:00,9.922660121704665,5988.315,287.43912
2000-01-01 08:00:00,10.248376886401047,6290.928,301.964544
2000-01-01 09:00:00,10.297226936854866,6335.166,304.087968
2000-01-01 10:00:00,10.331419565806193,6366.118,305.573664
2000-01-01 11:00:00,10.794117623667269,6710.924,322.124352
2000-01-01 12:00:00,11.213867556298776,6959.244,334.043712
2000-01-01 13:00:00,11.264952033584269,6988.362,335.441376
2000-01-01 14:00:00,11.261042827110009,6986.154,335.335392
2000-01-01 15:00:00,11.291934811289456,7003.198,336.153504
2000-01-01 16:00:00,11.344250290743474,7028.509,337.36843200000004
2000-01-01 17:00:00,11.356298245643494,7034.32,337.64736
2000-01-01 18:00:00,11.219544573621672,6962.464,334.198272
2000-01-01 19:00:00,11.064064660049176,6873.73,329.93904
2000-01-01 20:00:00,10.880232020532649,6768.65,324.89519999999993
2000-01-01 21:00:00,10.433942964241528,6458.974,310.030752
2000-01-01 22:00:00,9.970465466551321,6034.053,289.634544
2000-01-01 23:00:00,9.640768342791826,5714.624,274.30195199999997
2000-01-02 00:00:00,9.410874201671891,5463.736,262.259328
2000-01-02 01:00:00,9.175161871355252,5201.624,249.67795199999998
2000-01-02 02:00:00,9.02823868031984,5034.0,241.632
2000-01-02 03:00:00,9.154805882302126,5178.44,248.56512
2000-01-02 04:00:00,9.305504714932589,5348.632,256.734336
2000-01-02 05:00:00,9.457573268908906,5514.688,264.705024
2000-01-02 06:00:00,9.566481012881002,5633.576,270.411648
2000-01-02 07:00:00,9.745705166058546,5819.3,279.32640000000004
2000-01-02 08:00:00,9.84293443022181,5912.162,283.783776
2000-01-02 09:00:00,9.71064176202958,5785.805,277.71864
2000-01-02 10:00:00,9.550937936556476,5616.592,269.596416
2000-01-02 11:00:00,9.441519297379829,5497.176,263.86444800000004
2000-01-02 12:00:00,9.362495656624867,5410.848,259.720704
2000-01-02 13:00:00,9.437727406989397,5493.04,263.66591999999997
2000-01-02 14:00:00,9.415386810825746,5468.664,262.49587199999996
2000-01-02 15:00:00,9.436799873401904,5491.984,263.615232
2000-01-02 16:00:00,9.542865305819484,5607.792,269.174016
2000-01-02 17:00:00,9.715986952569427,5790.964,277.966272
2000-01-02 18:00:00,10.013996781041604,6075.633,291.63038399999994
2000-01-02 19:00:00,10.06865321633481,6127.839,294.136272
2000-01-02 20:00:00,9.780275145155427,5852.333,280.911984
2000-01-02 21:00:00,9.690358069300633,5766.478,276.790944
2000-01-02 22:00:00,9.783898139479442,5855.798,281.078304
2000-01-02 23:00:00,10.1149134213826,6170.04,296.16192
2000-01-03 00:00:00,10.512848863425651,6522.518,313.080864
2000-01-03 01:00:00,10.901871822731259,6781.178,325.496544
2000-01-03 02:00:00,11.5479746778067,7127.062,342.09897600000005
2000-01-03 03:00:00,12.029067093238954,7326.037,351.64977600000003
2000-01-03 04:00:00,12.277124498149155,7391.472,354.79065599999996
2000-01-03 05:00:00,12.186485783842087,7371.222,353.818656
