Date,windspeed,Avera M5000-116 OFF power at a hub height of 90.0 m (kW),46.0 turbines for Avera M5000-116 OFF power at a hub height of 90.0 m (MW)
2000-01-01 00:00:00,8.761808569031114,3160.1136,145.3652256
2000-01-01 01:00:00,8.815481143279898,3223.1632,148.2655072
2000-01-01 02:00:00,9.102641504571631,3560.3712,163.77707519999998
2000-01-01 03:00:00,9.18491220879041,3665.3144,168.60446240000002
2000-01-01 04:00:00,9.245437778556528,3748.712,172.440752
2000-01-01 05:00:00,9.454399682662638,4036.3136,185.6704256
2000-01-01 06:00:00,9.58083771491512,4208.408,193.586768
2000-01-01 07:00:00,9.922660121704665,4649.2144,213.8638624
2000-01-01 08:00:00,10.248376886401047,4853.7728,223.2735488
2000-01-01 09:00:00,10.297226936854866,4878.3094,224.4022324
2000-01-01 10:00:00,10.331419565806193,4895.531,225.194426
2000-01-01 11:00:00,10.794117623667269,4997.915,229.90409
2000-01-01 12:00:00,11.213867556298776,5000.0,230.0
2000-01-01 13:00:00,11.264952033584269,5000.0,230.0
2000-01-01 14:00:00,11.261042827110009,5000.0,230.0
2000-01-01 15:00:00,11.291934811289456,5000.0,230.0
2000-01-01 16:00:00,11.344250290743474,5000.0,230.0
2000-01-01 17:00:00,11.356298245643494,5000.0,230.0
2000-01-01 18:00:00,11.219544573621672,5000.0,230.0
2000-01-01 19:00:00,11.064064660049176,5000.0,230.0
2000-01-01 20:00:00,10.880232020532649,5000.0,230.0
2000-01-01 21:00:00,10.433942964241528,4932.92,226.91432
2000-01-01 22:00:00,9.970465466551321,4710.8544,216.69930240000002
2000-01-01 23:00:00,9.640768342791826,4285.6992,197.1421632
2000-01-02 00:00:00,9.410874201671891,3976.368,182.912928
2000-01-02 01:00:00,9.175161871355252,3651.9296,167.9887616
2000-01-02 02:00:00,9.02823868031984,3472.9216,159.75439360000001
2000-01-02 03:00:00,9.154805882302126,3623.9016,166.6994736
2000-01-02 04:00:00,9.305504714932589,3831.3088,176.2402048
