Date,windspeed,Avera M5000-116 OFF power at a hub height of 90.0 m (kW),113.0 turbines for Avera M5000-116 OFF power at a hub height of 90.0 m (MW)
2000-01-01 00:00:00,7.543617177119647,1899.645,214.659885
2000-01-01 01:00:00,7.586928837543746,1940.804,219.310852
2000-01-01 02:00:00,7.6761700641670565,2025.65,228.89845000000003
2000-01-01 03:00:00,7.711909700647634,2059.62,232.73705999999999
2000-01-01 04:00:00,7.669341996107019,2019.172,228.166436
2000-01-01 05:00:00,7.635644341722269,1987.177,224.55100099999999
2000-01-01 06:00:00,7.789951284404753,2133.801,241.119513
2000-01-01 07:00:00,8.046433261242022,2377.595,268.668235
2000-01-01 08:00:00,8.471167938230497,2817.572,318.385636
2000-01-01 09:00:00,8.84553394046201,3258.3968,368.1988384
2000-01-01 10:00:00,9.25937543287593,3767.8168,425.76329840000005
2000-01-01 11:00:00,9.557807404618364,4178.6272,472.1848736
2000-01-01 12:00:00,9.537623785819612,4150.828,469.04356400000006
2000-01-01 13:00:00,9.495776358788806,4093.1704,462.5282552
2000-01-01 14:00:00,9.64456204684609,4290.5232,484.82912159999995
2000-01-01 15:00:00,9.583107038796543,4211.3024,475.8771711999999
2000-01-01 16:00:00,9.317365326800042,3847.668,434.786484
2000-01-01 17:00:00,9.1705581052313,3645.6376,411.9570488
2000-01-01 18:00:00,9.04308132361382,3490.392,394.414296
2000-01-01 19:00:00,9.004919197624332,3445.5936,389.3520768
2000-01-01 20:00:00,8.999978965369099,3439.7376,388.6903488
2000-01-01 21:00:00,8.766186830444003,3165.2864,357.6773632
2000-01-01 22:00:00,8.455615884401974,2799.246,316.314798
2000-01-01 23:00:00,8.218721409330934,2541.283,287.164979
2000-01-02 00:00:00,7.934143771473924,2270.866,256.607858
2000-01-02 01:00:00,7.607800258730358,1960.712,221.56045600000002
2000-01-02 02:00:00,7.311988845583277,1722.202,194.608826
2000-01-02 03:00:00,7.280547085520941,1700.22,192.12486
2000-01-02 04:00:00,7.4480556598335985,1817.148,205.33772399999998
2000-01-02 05:00:00,7.612453357328919,1965.136,222.06036799999998
2000-01-02 06:00:00,7.800020702426265,2143.36,242.19968000000003
2000-01-02 07:00:00,8.105657725717592,2433.843,275.024259
2000-01-02 08:00:00,8.221953227997709,2544.364,287.513132
2000-01-02 09:00:00,8.117108734415233,2444.745,276.256185
2000-01-02 10:00:00,8.088249870727294,2417.332,273.158516
2000-01-02 11:00:00,7.969857953452272,2304.757,260.437541
2000-01-02 12:00:00,7.673172618909287,2022.806,228.577078
2000-01-02 13:00:00,7.310952752666973,1721.448,194.523624
2000-01-02 14:00:00,6.9066172311219685,1438.9544,162.6018472
2000-01-02 15:00:00,6.679002158437044,1279.5446,144.5885398
2000-01-02 16:00:00,6.8489723860476674,1398.5636,158.0376868
2000-01-02 17:00:00,7.094504963325807,1570.416,177.457008
2000-01-02 18:00:00,7.429205358504769,1803.982,203.849966
2000-01-02 19:00:00,7.8803830344531605,2219.753,250.832089
2000-01-02 20:00:00,8.489410888124025,2839.132,320.82191600000004
2000-01-02 21:00:00,8.599804782666274,2969.276,335.52818799999994
2000-01-02 22:00:00,8.389826153187162,2721.728,307.555264
2000-01-02 23:00:00,8.355962089911728,2681.744,303.037072
2000-01-03 00:00:00,8.784059325758085,3186.2704,360.0485552
2000-01-03 01:00:00,8.999178191273037,3438.8592,388.59108960000003
2000-01-03 02:00:00,9.064246319724672,3515.28,397.22664000000003
2000-01-03 03:00:00,9.162789951693236,3634.884,410.741892
2000-01-03 04:00:00,9.330367802800238,3865.5144,436.8031272
2000-01-03 05:00:00,9.459246863707461,4042.9488,456.8532144
2000-01-03 06:00:00,9.32904701591576,3863.684,436.596292
2000-01-03 07:00:00,9.27423880674266,3788.2944,428.0772672
2000-01-03 08:00:00,9.117574770118331,3577.8416,404.29610080000003
2000-01-03 09:00:00,8.844017132817996,3256.64,368.00032
2000-01-03 10:00:00,8.469541341924737,2815.71,318.17523
2000-01-03 11:00:00,8.259765589341182,2580.309,291.574917
2000-01-03 12:00:00,8.235672712803508,2557.399,288.986087
2000-01-03 13:00:00,8.209555332074036,2532.593,286.18300899999997
2000-01-03 14:00:00,7.973922066337066,2308.628,260.87496400000003
2000-01-03 15:00:00,7.8852384453397635,2224.335,251.34985500000002
2000-01-03 16:00:00,7.951406063469645,2287.219,258.45574700000003
2000-01-03 17:00:00,7.934830758453036,2271.498,256.679274
2000-01-03 18:00:00,7.8968219926493335,2235.395,252.599635
2000-01-03 19:00:00,7.776794048115167,2121.319,239.709047
2000-01-03 20:00:00,7.522230760544765,1879.342,212.365646
2000-01-03 21:00:00,7.209450100403639,1650.63,186.52119
2000-01-03 22:00:00,6.99084697223442,1497.911,169.263943
2000-01-03 23:00:00,6.765442102726603,1340.0726,151.42820379999998
2000-01-04 00:00:00,6.591781970215397,1227.1232,138.6649216
2000-01-04 01:00:00,6.383636622125717,1112.44,125.70572
2000-01-04 02:00:00,6.185399061807822,1003.324,113.37561199999999
2000-01-04 03:00:00,5.922924049034079,859.3192,97.1030696
2000-01-04 04:00:00,5.843374444929022,815.68,92.17184
2000-01-04 05:00:00,5.800859679477178,794.9526,89.82964379999999
2000-01-04 06:00:00,5.740539655029568,770.7042,87.0895746
2000-01-04 07:00:00,5.618941328802571,721.84,81.56792
2000-01-04 08:00:00,5.51914606454533,681.7266,77.0351058
2000-01-04 09:00:00,5.873703013045367,832.324,94.052612
2000-01-04 10:00:00,6.431194135367032,1138.6376,128.6660488
2000-01-04 11:00:00,6.885054976155013,1423.8224,160.8919312
2000-01-04 12:00:00,7.131391402415449,1596.168,180.366984
2000-01-04 13:00:00,7.209718920206911,1650.804,186.540852
2000-01-04 14:00:00,7.125276998326124,1591.876,179.88198799999998
2000-01-04 15:00:00,7.035562069343093,1529.2226,172.8021538
2000-01-04 16:00:00,7.052212495207048,1540.8626,174.11747379999997
2000-01-04 17:00:00,7.094208829992947,1570.242,177.437346
2000-01-04 18:00:00,7.206017899881159,1648.252,186.252476
2000-01-04 19:00:00,7.34813751893804,1747.432,197.459816
2000-01-04 20:00:00,7.267175880124673,1690.94,191.07622
2000-01-04 21:00:00,7.152077662987244,1610.61,181.99893
2000-01-04 22:00:00,7.073057537404088,1555.452,175.766076
2000-01-04 23:00:00,6.87640097150325,1417.7696,160.2079648
2000-01-05 00:00:00,6.681409621275159,1281.2324,144.7792612
2000-01-05 01:00:00,6.455801826855228,1152.1944,130.19796720000002
2000-01-05 02:00:00,6.520335963373588,1187.781,134.219253
2000-01-05 03:00:00,6.726654711858661,1312.9514,148.36350819999998
2000-01-05 04:00:00,6.910437347448178,1441.6316,162.9043708
2000-01-05 05:00:00,7.093672224129019,1569.836,177.391468
2000-01-05 06:00:00,7.295367333085582,1710.602,193.29802600000002
2000-01-05 07:00:00,7.566815254891316,1921.686,217.15051799999998
2000-01-05 08:00:00,7.812243708468891,2154.973,243.511949
2000-01-05 09:00:00,8.201661045042021,2525.088,285.334944
2000-01-05 10:00:00,8.762444013112079,3160.8944,357.1810672
2000-01-05 11:00:00,8.888205800365911,3308.5632,373.8676416
2000-01-05 12:00:00,9.004618200458877,3445.2032,389.3079616
2000-01-05 13:00:00,8.828926533135784,3238.9744,366.0041072
2000-01-05 14:00:00,8.39333566953329,2725.844,308.020372
2000-01-05 15:00:00,7.972472811016947,2307.285,260.723205
2000-01-05 16:00:00,7.703483491998596,2051.641,231.83543300000002
2000-01-05 17:00:00,7.591223864962108,1944.912,219.775056
2000-01-05 18:00:00,7.472329976511519,1834.084,207.25149199999998
2000-01-05 19:00:00,7.219564578583728,1657.706,187.320778
2000-01-05 20:00:00,7.0294986421956756,1524.974,172.32206200000002
2000-01-05 21:00:00,6.848046792671777,1397.9234,157.9653442
2000-01-05 22:00:00,6.716162999021746,1305.56,147.52828
2000-01-05 23:00:00,6.806529037111522,1368.8816,154.6836208
2000-01-06 00:00:00,6.9368562953006325,1460.1392,164.99572960000003
2000-01-06 01:00:00,7.152586182527112,1610.958,182.03825400000002
2000-01-06 02:00:00,7.382552721035306,1771.444,200.173172
2000-01-06 03:00:00,7.6123066043124386,1964.978,222.04251399999998
2000-01-06 04:00:00,8.053476857113619,2384.231,269.41810300000003
2000-01-06 05:00:00,8.323891637384929,2644.014,298.773582
2000-01-06 06:00:00,8.457458807684464,2801.5,316.5695
2000-01-06 07:00:00,8.662492524109094,3043.168,343.87798399999997
2000-01-06 08:00:00,8.731589037332428,3124.6848,353.0893824
2000-01-06 09:00:00,8.66772450648123,3049.342,344.575646
2000-01-06 10:00:00,8.379250530591193,2709.282,306.14886600000006
2000-01-06 11:00:00,8.247462760916825,2568.617,290.25372100000004
2000-01-06 12:00:00,8.270065075552168,2590.105,292.681865
2000-01-06 13:00:00,8.394109674359022,2726.726,308.120038
2000-01-06 14:00:00,8.281192403275154,2600.691,293.878083
2000-01-06 15:00:00,7.954951777884128,2290.616,258.839608
2000-01-06 16:00:00,7.805695982487798,2148.732,242.806716
2000-01-06 17:00:00,7.707055812131622,2055.038,232.219294
2000-01-06 18:00:00,7.660941319324808,2011.193,227.264809
2000-01-06 19:00:00,7.776185344452027,2120.687,239.637631
2000-01-06 20:00:00,7.9661744368213725,2301.281,260.044753
2000-01-06 21:00:00,8.143418917107546,2469.709,279.077117
2000-01-06 22:00:00,8.210433945833966,2533.462,286.281206
2000-01-06 23:00:00,8.35195793023955,2677.04,302.50552000000005
2000-01-07 00:00:00,8.283448510153415,2602.824,294.11911200000003
2000-01-07 01:00:00,7.750676289830007,2096.434,236.89704200000003
2000-01-07 02:00:00,8.023244507516866,2355.554,266.17760200000004
2000-01-07 03:00:00,8.414128009841868,2750.344,310.788872
2000-01-07 04:00:00,8.448141383338147,2790.426,315.318138
2000-01-07 05:00:00,8.544856493582541,2904.498,328.208274
2000-01-07 06:00:00,8.729418649352251,3122.0496,352.79160479999996
2000-01-07 07:00:00,8.741011514980874,3135.7136,354.3356368
2000-01-07 08:00:00,8.818569091057473,3226.7744,364.6255072
2000-01-07 09:00:00,8.831535093968151,3242.0,366.346
2000-01-07 10:00:00,8.964017389709545,3397.5744,383.92590720000004
2000-01-07 11:00:00,9.075502881578439,3528.456,398.715528
2000-01-07 12:00:00,9.067582925299352,3519.184,397.667792
2000-01-07 13:00:00,8.895764505026632,3317.4448,374.87126240000003
