Date,windspeed,Enercon E126/7580 OFF power at a hub height of 135.0 m (kW),75.0 turbines for Enercon E126/7580 OFF power at a hub height of 135.0 m (MW)
2000-01-01 00:00:00,7.543617177119647,3086.856,231.51420000000002
2000-01-01 01:00:00,7.586928837543746,3144.96,235.872
2000-01-01 02:00:00,7.6761700641670565,3263.154,244.73655
2000-01-01 03:00:00,7.711909700647634,3308.34,248.1255
2000-01-01 04:00:00,7.669341996107019,3254.484,244.0863
2000-01-01 05:00:00,7.635644341722269,3210.192,240.7644
2000-01-01 06:00:00,7.789951284404753,3407.076,255.53070000000002
2000-01-01 07:00:00,8.046433261242022,3731.64,279.873
2000-01-01 08:00:00,8.471167938230497,4319.612,323.97090000000003
2000-01-01 09:00:00,8.84553394046201,4821.164,361.58729999999997
2000-01-01 10:00:00,9.25937543287593,5297.764,397.3323
2000-01-01 11:00:00,9.557807404618364,5624.072,421.8054
2000-01-01 12:00:00,9.537623785819612,5602.072,420.15540000000004
2000-01-01 13:00:00,9.495776358788806,5556.4,416.73
2000-01-01 14:00:00,9.64456204684609,5718.848,428.9136
2000-01-01 15:00:00,9.583107038796543,5651.704,423.8778
2000-01-01 16:00:00,9.317365326800042,5361.656,402.12420000000003
2000-01-01 17:00:00,9.1705581052313,5196.38,389.7285
2000-01-01 18:00:00,9.04308132361382,5050.928,378.8196
2000-01-01 19:00:00,9.004919197624332,5007.32,375.549
2000-01-01 20:00:00,8.999978965369099,5001.708,375.12809999999996
2000-01-01 21:00:00,8.766186830444003,4714.892,353.6169
2000-01-01 22:00:00,8.455615884401974,4298.352,322.3764
2000-01-01 23:00:00,8.218721409330934,3969.184,297.6888
2000-01-02 00:00:00,7.934143771473924,3589.554,269.21655
2000-01-02 01:00:00,7.607800258730358,3172.932,237.9699
2000-01-02 02:00:00,7.311988845583277,2776.572,208.24290000000002
2000-01-02 03:00:00,7.280547085520941,2734.452,205.08390000000003
2000-01-02 04:00:00,7.4480556598335985,2958.876,221.91570000000002
2000-01-02 05:00:00,7.612453357328919,3179.088,238.4316
2000-01-02 06:00:00,7.800020702426265,3419.826,256.48695000000004
2000-01-02 07:00:00,8.105657725717592,3812.16,285.912
2000-01-02 08:00:00,8.221953227997709,3973.664,298.02479999999997
2000-01-02 09:00:00,8.117108734415233,3828.064,287.1048
2000-01-02 10:00:00,8.088249870727294,3787.968,284.0976
2000-01-02 11:00:00,7.969857953452272,3634.74,272.6055
2000-01-02 12:00:00,7.673172618909287,3259.278,244.44584999999998
2000-01-02 13:00:00,7.310952752666973,2775.168,208.1376
2000-01-02 14:00:00,6.9066172311219685,2354.4,176.58
2000-01-02 15:00:00,6.679002158437044,2128.48,159.636
2000-01-02 16:00:00,6.8489723860476674,2297.2,172.29
2000-01-02 17:00:00,7.094504963325807,2540.88,190.566
2000-01-02 18:00:00,7.429205358504769,2933.604,220.0203
2000-01-02 19:00:00,7.8803830344531605,3521.52,264.114
2000-01-02 20:00:00,8.489410888124025,4344.02,325.80150000000003
2000-01-02 21:00:00,8.599804782666274,4491.98,336.89849999999996
2000-01-02 22:00:00,8.389826153187162,4206.96,315.522
2000-01-02 23:00:00,8.355962089911728,4159.92,311.994
2000-01-03 00:00:00,8.784059325758085,4738.868,355.41510000000005
2000-01-03 01:00:00,8.999178191273037,5000.788,375.0591
2000-01-03 02:00:00,9.064246319724672,5075.032,380.6274
2000-01-03 03:00:00,9.162789951693236,5187.548,389.06609999999995
2000-01-03 04:00:00,9.330367802800238,5375.824,403.1868
2000-01-03 05:00:00,9.459246863707461,5516.536,413.7402
2000-01-03 06:00:00,9.32904701591576,5374.328,403.07460000000003
2000-01-03 07:00:00,9.27423880674266,5314.576,398.5932
2000-01-03 08:00:00,9.117574770118331,5135.936,385.19519999999994
2000-01-03 09:00:00,8.844017132817996,4819.112,361.4334
2000-01-03 10:00:00,8.469541341924737,4317.452,323.80890000000005
2000-01-03 11:00:00,8.259765589341182,4026.192,301.9644
2000-01-03 12:00:00,8.235672712803508,3992.816,299.4612
2000-01-03 13:00:00,8.209555332074036,3956.528,296.7396
2000-01-03 14:00:00,7.973922066337066,3639.84,272.988
2000-01-03 15:00:00,7.8852384453397635,3527.64,264.573
2000-01-03 16:00:00,7.951406063469645,3611.382,270.85365
2000-01-03 17:00:00,7.934830758453036,3590.37,269.27775
2000-01-03 18:00:00,7.8968219926493335,3542.328,265.6746
2000-01-03 19:00:00,7.776794048115167,3390.45,254.28375
2000-01-03 20:00:00,7.522230760544765,3058.236,229.36769999999999
2000-01-03 21:00:00,7.209450100403639,2654.96,199.122
2000-01-03 22:00:00,6.99084697223442,2438.0,182.85
2000-01-03 23:00:00,6.765442102726603,2214.32,166.074
2000-01-04 00:00:00,6.591781970215397,2041.92,153.144
2000-01-04 01:00:00,6.383636622125717,1847.48,138.561
2000-01-04 02:00:00,6.185399061807822,1687.645,126.573375
2000-01-04 03:00:00,5.922924049034079,1476.005,110.70037500000001
2000-01-04 04:00:00,5.843374444929022,1411.85,105.88875
2000-01-04 05:00:00,5.800859679477178,1377.595,103.319625
2000-01-04 06:00:00,5.740539655029568,1328.91,99.66825
2000-01-04 07:00:00,5.618941328802571,1235.594,92.66955
2000-01-04 08:00:00,5.51914606454533,1174.932,88.1199
2000-01-04 09:00:00,5.873703013045367,1436.29,107.72175
2000-01-04 10:00:00,6.431194135367032,1885.83,141.43725
2000-01-04 11:00:00,6.885054976155013,2332.96,174.972
2000-01-04 12:00:00,7.131391402415449,2577.44,193.308
2000-01-04 13:00:00,7.209718920206911,2655.2,199.14
