Date,windspeed,Avera M5000-116 OFF power at a hub height of 90.0 m (kW),88.0 turbines for Avera M5000-116 OFF power at a hub height of 90.0 m (MW)
2000-01-01 00:00:00,7.0880319666135065,1565.892,137.798496
2000-01-01 01:00:00,7.147768726026971,1607.594,141.46827199999998
2000-01-01 02:00:00,7.2047588623320085,1647.382,144.969616
2000-01-01 03:00:00,7.1776272854735375,1628.416,143.300608
2000-01-01 04:00:00,7.25309479017454,1681.08,147.93504
2000-01-01 05:00:00,7.478085327001341,1838.086,161.751568
2000-01-01 06:00:00,7.649854217651755,2000.607,176.053416
2000-01-01 07:00:00,7.888802456164338,2227.732,196.040416
2000-01-01 08:00:00,8.223145832440784,2545.549,224.00831200000002
2000-01-01 09:00:00,8.660226286426271,3040.522,267.56593599999997
2000-01-01 10:00:00,9.249839746252288,3754.6608,330.41015039999996
2000-01-01 11:00:00,9.500228390960027,4099.348,360.74262400000003
2000-01-01 12:00:00,9.548175452638484,4165.3568,366.5513983999999
2000-01-01 13:00:00,9.830517995548352,4530.3296,398.6690048
2000-01-01 14:00:00,9.933712479006648,4663.472,410.38553599999995
2000-01-01 15:00:00,9.699793413615973,4361.8112,383.8393856
2000-01-01 16:00:00,9.443883156608829,4021.7848,353.9170624
2000-01-01 17:00:00,9.219660348509947,3713.1336,326.75575680000003
2000-01-01 18:00:00,9.11778851089742,3578.1344,314.8758272
2000-01-01 19:00:00,9.022897553331637,3466.6752,305.0674176
2000-01-01 20:00:00,8.920763721350609,3346.7248,294.5117824
2000-01-01 21:00:00,8.658180300900042,3038.072,267.350336
2000-01-01 22:00:00,8.27775984274769,2597.452,228.57577600000002
2000-01-01 23:00:00,7.9744554113635076,2309.181,203.207928
2000-01-02 00:00:00,7.677916103476352,2027.309,178.40319200000002
2000-01-02 01:00:00,7.366091775969171,1759.96,154.87648000000002
2000-01-02 02:00:00,7.108187430927918,1579.986,139.038768
2000-01-02 03:00:00,7.098677238479947,1573.316,138.451808
2000-01-02 04:00:00,7.227930836351187,1663.506,146.388528
2000-01-02 05:00:00,7.333074478446398,1736.876,152.84508799999998
2000-01-02 06:00:00,7.453344690465557,1820.802,160.230576
2000-01-02 07:00:00,7.7482399374449145,2094.143,184.284584
2000-01-02 08:00:00,7.739894132017852,2086.243,183.589384
2000-01-02 09:00:00,7.621595421746463,1973.747,173.689736
2000-01-02 10:00:00,7.521963044893511,1879.105,165.36123999999998
2000-01-02 11:00:00,7.469235143190724,1831.88,161.20544
2000-01-02 12:00:00,7.422741844397193,1799.458,158.352304
2000-01-02 13:00:00,7.382771112785587,1771.56,155.89728
2000-01-02 14:00:00,7.112727818303994,1583.118,139.314384
2000-01-02 15:00:00,6.949848724150349,1469.2184,129.2912192
2000-01-02 16:00:00,7.054361605023455,1542.3758,135.72907039999998
2000-01-02 17:00:00,7.309943344631453,1720.752,151.426176
2000-01-02 18:00:00,7.693658307735141,2042.24,179.71712
2000-01-02 19:00:00,7.926743198354091,2263.835,199.21748000000002
2000-01-02 20:00:00,8.150350531971291,2476.345,217.91835999999998
2000-01-02 21:00:00,8.182984340665268,2507.313,220.643544
2000-01-02 22:00:00,8.22136783555932,2543.811,223.85536800000003
2000-01-02 23:00:00,8.261350443072116,2581.81,227.19928
2000-01-03 00:00:00,8.694570796237139,3080.996,271.12764799999997
2000-01-03 01:00:00,9.004500361928619,3445.1056,303.1692928
2000-01-03 02:00:00,9.133711700062623,3596.776,316.516288
2000-01-03 03:00:00,9.277242202425569,3792.4128,333.73232640000003
2000-01-03 04:00:00,9.484738914007966,4078.0696,358.8701248
2000-01-03 05:00:00,9.561991100727726,4184.0736,368.1984767999999
2000-01-03 06:00:00,9.53087653599242,4141.5616,364.4574208
2000-01-03 07:00:00,9.291354995115237,3811.8608,335.4437504
2000-01-03 08:00:00,8.92972537424186,3357.2656,295.4393728
2000-01-03 09:00:00,8.481765718162361,2830.116,249.050208
2000-01-03 10:00:00,8.529262785185326,2886.074,253.974512
2000-01-03 11:00:00,8.378032518398427,2707.812,238.287456
2000-01-03 12:00:00,8.204714054314884,2528.011,222.464968
2000-01-03 13:00:00,7.9585517606301,2294.013,201.873144
2000-01-03 14:00:00,7.8096551256544195,2152.524,189.422112
2000-01-03 15:00:00,7.721261465393338,2068.547,182.032136
2000-01-03 16:00:00,7.668966574042393,2018.777,177.65237599999998
2000-01-03 17:00:00,7.6956241303992154,2044.136,179.88396799999998
2000-01-03 18:00:00,7.696930628380895,2045.4,179.9952
2000-01-03 19:00:00,7.457112556383834,1823.47,160.46536
2000-01-03 20:00:00,7.023386271883585,1520.7254,133.8238352
2000-01-03 21:00:00,6.697312447782017,1292.4068,113.7317984
2000-01-03 22:00:00,6.444375440581088,1145.9198,100.84094239999999
2000-01-03 23:00:00,6.160267148010153,989.5528,87.08064639999999
2000-01-04 00:00:00,5.9746378921077525,887.6824,78.1160512
2000-01-04 01:00:00,5.7293455824402155,766.1952,67.4251776
2000-01-04 02:00:00,5.600452367845638,714.4252,62.8694176
2000-01-04 03:00:00,5.480240384806455,666.0954,58.61639520000001
2000-01-04 04:00:00,5.520282340985597,682.1942,60.0330896
2000-01-04 05:00:00,5.476924134286107,664.7594,58.4988272
2000-01-04 06:00:00,5.336911339907841,608.6724,53.563171200000006
2000-01-04 07:00:00,5.5481576693411245,693.3832,61.017721599999994
2000-01-04 08:00:00,5.909928143529571,852.2056,74.9940928
2000-01-04 09:00:00,6.306936115068328,1070.1666,94.1746608
2000-01-04 10:00:00,6.628625918916682,1247.4126,109.77230880000002
2000-01-04 11:00:00,6.910456884226643,1441.6316,126.8635808
2000-01-04 12:00:00,7.042925180328857,1534.4024,135.0274112
2000-01-04 13:00:00,7.076207861699331,1557.656,137.07372800000002
2000-01-04 14:00:00,7.0514700232020315,1540.3388,135.5498144
2000-01-04 15:00:00,6.898490641185898,1433.2508,126.1260704
2000-01-04 16:00:00,6.7459172114621255,1326.3956,116.7228128
2000-01-04 17:00:00,6.673340212901912,1275.587,112.251656
2000-01-04 18:00:00,6.7705705623208665,1343.681,118.243928
2000-01-04 19:00:00,6.843600171573986,1394.8388,122.7458144
2000-01-04 20:00:00,6.761372464915558,1337.2208,117.67543040000001
2000-01-04 21:00:00,6.7838701337830605,1352.993,119.06338399999999
2000-01-04 22:00:00,6.788792680679783,1356.4268,119.3655584
2000-01-04 23:00:00,6.710529534763037,1301.6606,114.5461328
2000-01-05 00:00:00,6.603791904542943,1233.7642,108.57124960000002
2000-01-05 01:00:00,6.530054941481067,1193.0938,104.99225440000001
2000-01-05 02:00:00,6.422550593323338,1133.8744,99.7809472
2000-01-05 03:00:00,6.494351428844285,1173.4456,103.2632128
2000-01-05 04:00:00,6.682700013560572,1282.1636,112.8303968
2000-01-05 05:00:00,6.834853859124767,1388.6696,122.20292479999999
2000-01-05 06:00:00,6.971514232242399,1484.4086,130.6279568
2000-01-05 07:00:00,7.306793676856603,1718.548,151.23222399999997
2000-01-05 08:00:00,7.702567378962091,2050.772,180.46793599999998
2000-01-05 09:00:00,8.144700734762667,2470.973,217.445624
2000-01-05 10:00:00,8.591434182154693,2959.378,260.425264
2000-01-05 11:00:00,8.759098812036102,3156.9904,277.81515520000005
2000-01-05 12:00:00,8.874370513212352,3292.264,289.71923200000003
2000-01-05 13:00:00,8.715042648331721,3105.104,273.249152
2000-01-05 14:00:00,8.377107423065969,2706.734,238.192592
2000-01-05 15:00:00,7.9850538047481,2319.214,204.090832
2000-01-05 16:00:00,7.770353842518457,2115.157,186.13381600000002
2000-01-05 17:00:00,7.6761622228767505,2025.65,178.2572
2000-01-05 18:00:00,7.4177410904734336,1795.978,158.046064
2000-01-05 19:00:00,7.058945066183922,1545.5768,136.0107584
2000-01-05 20:00:00,6.828022628992088,1383.8972,121.78295360000001
2000-01-05 21:00:00,6.6307995936371045,1248.6034,109.8770992
2000-01-05 22:00:00,6.547537624345606,1202.7576,105.84266879999998
2000-01-05 23:00:00,6.665608914945674,1270.1744,111.7753472
2000-01-06 00:00:00,6.874471229580704,1416.431,124.645928
2000-01-06 01:00:00,7.110271515935569,1581.436,139.16636799999998
2000-01-06 02:00:00,7.333229476991023,1736.992,152.855296
2000-01-06 03:00:00,7.54338705421718,1899.487,167.154856
2000-01-06 04:00:00,7.905902957022362,2244.006,197.47252799999998
2000-01-06 05:00:00,8.20772357042229,2530.855,222.71524
2000-01-06 06:00:00,8.305801271175794,2624.075,230.91859999999997
2000-01-06 07:00:00,8.45133836048874,2794.248,245.893824
2000-01-06 08:00:00,8.596388190365403,2965.258,260.942704
2000-01-06 09:00:00,8.637579485193339,3013.866,265.22020799999996
2000-01-06 10:00:00,8.396026910533243,2728.98,240.15024
2000-01-06 11:00:00,8.283499807221038,2602.903,229.05546399999997
2000-01-06 12:00:00,8.360110353144341,2686.644,236.424672
2000-01-06 13:00:00,8.504644965667334,2857.066,251.421808
2000-01-06 14:00:00,8.396424730548842,2729.47,240.19335999999998
2000-01-06 15:00:00,8.216313708826773,2538.992,223.43129600000003
2000-01-06 16:00:00,7.9986734374210595,2332.17,205.23096
2000-01-06 17:00:00,7.855296346985225,2195.895,193.23876
2000-01-06 18:00:00,7.8036978879262175,2146.836,188.92156799999998
2000-01-06 19:00:00,7.8767312716396285,2216.277,195.032376
2000-01-06 20:00:00,7.941578202904588,2277.897,200.45493599999998
2000-01-06 21:00:00,8.093646267900228,2422.467,213.177096
2000-01-06 22:00:00,8.109103899586668,2437.161,214.470168
2000-01-06 23:00:00,8.154739814063472,2480.532,218.28681600000002
2000-01-07 00:00:00,7.936365732649832,2272.92,200.01696
2000-01-07 01:00:00,7.820359410262997,2162.715,190.31892000000002
2000-01-07 02:00:00,8.290608961257771,2609.618,229.64638399999998
2000-01-07 03:00:00,8.30186117402674,2620.362,230.591856
2000-01-07 04:00:00,8.451849347312148,2794.836,245.94556799999998
2000-01-07 05:00:00,8.665242440298323,3046.402,268.083376
2000-01-07 06:00:00,8.662839271997449,3043.56,267.83327999999995
2000-01-07 07:00:00,8.667553824535545,3049.146,268.324848
2000-01-07 08:00:00,8.708067636397022,3096.97,272.53335999999996
2000-01-07 09:00:00,8.835916016084889,3247.1728,285.75120639999994
2000-01-07 10:00:00,8.979000697197009,3415.1424,300.53253120000005
2000-01-07 11:00:00,9.13050739611452,3593.0672,316.18991359999995
2000-01-07 12:00:00,9.169698286840779,3644.3792,320.7053696
2000-01-07 13:00:00,8.9431603204967,3373.0768,296.8307584
2000-01-07 14:00:00,8.592204901444576,2960.358,260.511504
2000-01-07 15:00:00,8.2026074868233,2526.036,222.291168
2000-01-07 16:00:00,7.948386086211219,2284.375,201.025
2000-01-07 17:00:00,7.5698761376781265,1924.609,169.365592
2000-01-07 18:00:00,7.313061537384767,1722.956,151.620128
2000-01-07 19:00:00,6.958118294013763,1474.9802,129.7982576
2000-01-07 20:00:00,6.663981604423072,1269.0686,111.6780368
2000-01-07 21:00:00,6.707985857912442,1299.8564,114.3873632
2000-01-07 22:00:00,6.860465903586515,1406.6534,123.78549919999999
2000-01-07 23:00:00,7.034394084516077,1528.4078,134.49988639999998
2000-01-08 00:00:00,7.324849633970982,1731.134,152.33979200000002
2000-01-08 01:00:00,7.537059891358178,1893.404,166.619552
2000-01-08 02:00:00,7.599926911807018,1953.207,171.88221600000003
2000-01-08 03:00:00,7.270385359067045,1693.144,148.996672
2000-01-08 04:00:00,6.892653825829378,1429.1768,125.7675584
2000-01-08 05:00:00,6.548980324661117,1203.5362,105.9111856
2000-01-08 06:00:00,6.1020880067290815,957.6328,84.2716864
2000-01-08 07:00:00,5.8102398891708935,798.7268,70.28795840000001
2000-01-08 08:00:00,5.6535911437422035,735.7678,64.7475664
2000-01-08 09:00:00,5.800787694380188,794.9192,69.9528896
2000-01-08 10:00:00,5.982358716666463,891.9232,78.4892416
2000-01-08 11:00:00,6.033749258928393,920.1496,80.97316479999999
2000-01-08 12:00:00,5.9504919666583005,874.4584,76.9523392
2000-01-08 13:00:00,5.719380053981331,762.1872,67.0724736
2000-01-08 14:00:00,5.456718853574442,656.6432,57.784601599999995
2000-01-08 15:00:00,5.293504685206008,591.342,52.038095999999996
2000-01-08 16:00:00,5.469290207015551,661.72,58.23136
2000-01-08 17:00:00,5.724999181660482,764.4584,67.2723392
2000-01-08 18:00:00,5.9066796959597445,850.4272,74.83759359999999
2000-01-08 19:00:00,6.179720500067591,1000.2232,88.0196416
2000-01-08 20:00:00,6.545890988159134,1201.8416,105.76206079999999
2000-01-08 21:00:00,7.057125381868772,1544.2964,135.8980832
2000-01-08 22:00:00,7.514492079645196,1871.995,164.73556
2000-01-08 23:00:00,7.638024943021254,1989.389,175.06623199999999
2000-01-09 00:00:00,7.936302900898807,2272.92,200.01696
2000-01-09 01:00:00,7.931762845282015,2268.575,199.63459999999998
2000-01-09 02:00:00,7.764291974412585,2109.39,185.62631999999996
2000-01-09 03:00:00,7.57906223787021,1933.378,170.137264
2000-01-09 04:00:00,7.5782964401179695,1932.667,170.074696
2000-01-09 05:00:00,7.596757793327079,1950.205,171.61803999999998
2000-01-09 06:00:00,7.349391173529447,1748.302,153.850576
2000-01-09 07:00:00,7.025981131196219,1522.5296,133.9826048
2000-01-09 08:00:00,6.555799828393138,1207.2918,106.2416784
2000-01-09 09:00:00,6.253015890075966,1040.4424,91.55893119999999
2000-01-09 10:00:00,6.165475286322775,992.38,87.32944
2000-01-09 11:00:00,6.32368568656754,1079.4182,94.9888016
2000-01-09 12:00:00,6.546695851613531,1202.2996,105.8023648
2000-01-09 13:00:00,6.533101981954104,1194.7884,105.14137919999999
2000-01-09 14:00:00,6.367579286302174,1103.6006,97.11685279999999
2000-01-09 15:00:00,6.284566700998122,1057.8464,93.0904832
2000-01-09 16:00:00,6.322325012386633,1078.6396,94.92028479999999
2000-01-09 17:00:00,6.23248895431793,1029.1792,90.5677696
2000-01-09 18:00:00,6.255722575578023,1041.9538,91.6919344
2000-01-09 19:00:00,6.259933589959017,1044.2896,91.8974848
2000-01-09 20:00:00,6.38993265011081,1115.9208,98.20103040000001
2000-01-09 21:00:00,6.592122499305026,1227.3064,108.0029632
2000-01-09 22:00:00,6.764165257253961,1339.1996,117.8495648
2000-01-09 23:00:00,6.919070152492509,1447.6844,127.39622720000001
2000-01-10 00:00:00,7.028236170103499,1524.101,134.120888
2000-01-10 01:00:00,7.083136951844777,1562.47,137.49736000000001
2000-01-10 02:00:00,7.321656515983148,1728.93,152.14584
2000-01-10 03:00:00,7.3411015107738695,1742.502,153.340176
2000-01-10 04:00:00,7.277886581145768,1698.364,149.456032
2000-01-10 05:00:00,7.155931726278199,1613.278,141.968464
2000-01-10 06:00:00,6.991313423361106,1498.2602,131.8468976
2000-01-10 07:00:00,6.991483541530468,1498.3766,131.8571408
2000-01-10 08:00:00,6.924050229303505,1451.1764,127.7035232
2000-01-10 09:00:00,6.789107179041121,1356.6596,119.38604480000001
2000-01-10 10:00:00,6.971115948233807,1484.1176,130.60234880000002
2000-01-10 11:00:00,7.0559129397710265,1543.4816,135.8263808
2000-01-10 12:00:00,7.255834451341102,1682.994,148.10347199999998
2000-01-10 13:00:00,7.401025690282543,1784.32,157.02016
2000-01-10 14:00:00,7.585790847393294,1939.777,170.70037599999998
2000-01-10 15:00:00,7.5986961540866815,1952.022,171.77793599999998
2000-01-10 16:00:00,7.485769075732277,1844.661,162.33016800000001
2000-01-10 17:00:00,7.379538893315859,1769.298,155.69822399999998
2000-01-10 18:00:00,7.230974492446459,1665.652,146.577376
2000-01-10 19:00:00,7.043802751867468,1534.9844,135.07862720000003
2000-01-10 20:00:00,7.041908403224187,1533.6458,134.96083040000002
2000-01-10 21:00:00,7.244604449608048,1675.164,147.414432
2000-01-10 22:00:00,7.352799325629045,1750.68,154.05984
2000-01-10 23:00:00,7.433790721739012,1807.172,159.031136
2000-01-11 00:00:00,7.684267758949821,2033.313,178.931544
2000-01-11 01:00:00,7.883498766341118,2222.676,195.595488
2000-01-11 02:00:00,7.973137443144441,2307.917,203.096696
2000-01-11 03:00:00,7.982509395060178,2316.844,203.882272
2000-01-11 04:00:00,7.7815466507607125,2125.822,187.072336
2000-01-11 05:00:00,7.582292152297488,1936.459,170.408392
2000-01-11 06:00:00,7.438563874211076,1810.478,159.322064
2000-01-11 07:00:00,7.222633567582536,1659.852,146.06697599999998
2000-01-11 08:00:00,7.114911514309482,1584.684,139.452192
2000-01-11 09:00:00,7.112777873352008,1583.176,139.31948799999998
2000-01-11 10:00:00,7.164520166483602,1619.31,142.49928
2000-01-11 11:00:00,7.109276570684974,1580.74,139.10512
2000-01-11 12:00:00,6.934829989105332,1458.6842,128.36420959999998
2000-01-11 13:00:00,6.761760933977965,1337.5118,117.7010384
2000-01-11 14:00:00,6.376798735435969,1108.6844,97.5642272
2000-01-11 15:00:00,6.042014766448398,924.664,81.370432
2000-01-11 16:00:00,5.908003350860642,851.1568,74.9017984
2000-01-11 17:00:00,6.113591084261771,963.9256,84.8254528
2000-01-11 18:00:00,6.639775755924991,1253.5498,110.3123824
2000-01-11 19:00:00,7.123286800926167,1590.484,139.962592
2000-01-11 20:00:00,7.564465328429833,1919.474,168.913712
2000-01-11 21:00:00,8.018381420860972,2350.893,206.878584
2000-01-11 22:00:00,8.420903787937203,2758.38,242.73744
2000-01-11 23:00:00,8.624079027236371,2997.892,263.81449599999996
2000-01-12 00:00:00,8.801321522564116,3206.4736,282.16967679999993
2000-01-12 01:00:00,8.972921172553715,3408.0176,299.90554879999996
2000-01-12 02:00:00,9.20925581950115,3698.8336,325.49735680000003
2000-01-12 03:00:00,9.421261068629091,3990.668,351.178784
2000-01-12 04:00:00,9.656688688361543,4306.1744,378.94334719999995
2000-01-12 05:00:00,9.954593117069193,4690.3792,412.75336960000004
2000-01-12 06:00:00,10.163530948671877,4811.095,423.37636000000003
2000-01-12 07:00:00,10.143944560728546,4801.2302,422.50825760000004
2000-01-12 08:00:00,10.137498779421657,4798.0116,422.2250208
2000-01-12 09:00:00,10.009564356411886,4733.6814,416.56396320000005
2000-01-12 10:00:00,10.068885990205217,4763.4848,419.18666240000005
2000-01-12 11:00:00,10.039618699268516,4748.7712,417.8918656
2000-01-12 12:00:00,10.050205858400627,4754.0798,418.3590224
2000-01-12 13:00:00,9.966933233936297,4706.352,414.15897599999994
2000-01-12 14:00:00,9.579317811796214,4206.3712,370.16066559999996
2000-01-12 15:00:00,9.073852912555173,3526.504,310.332352
2000-01-12 16:00:00,8.742972016719856,3137.9584,276.14033919999997
2000-01-12 17:00:00,8.6206185013195,2993.776,263.452288
2000-01-12 18:00:00,8.79563417693566,3199.8368,281.5856384
2000-01-12 19:00:00,8.837753276656253,3249.32,285.94016000000005
2000-01-12 20:00:00,8.771788580260788,3171.8256,279.1206528
2000-01-12 21:00:00,8.783636921065987,3185.7824,280.3488512
2000-01-12 22:00:00,8.903445681223108,3326.424,292.725312
2000-01-12 23:00:00,8.83950472448431,3251.3696,286.1205248
2000-01-13 00:00:00,8.780089862242209,3181.5856,279.97953279999996
2000-01-13 01:00:00,8.654290859081993,3033.564,266.95363199999997
2000-01-13 02:00:00,8.416398529325443,2753.088,242.271744
2000-01-13 03:00:00,8.119330684742701,2446.878,215.32526400000003
2000-01-13 04:00:00,7.889903241349118,2228.759,196.130792
2000-01-13 05:00:00,7.8345834224720665,2176.224,191.507712
2000-01-13 06:00:00,7.7713917185003485,2116.184,186.22419200000002
2000-01-13 07:00:00,7.851217279351938,2192.024,192.898112
2000-01-13 08:00:00,7.979597419673389,2314.079,203.63895200000002
2000-01-13 09:00:00,8.048453514946681,2379.491,209.395208
2000-01-13 10:00:00,8.230615061536488,2552.58,224.62703999999997
2000-01-13 11:00:00,8.272868584644502,2592.791,228.16560800000002
2000-01-13 12:00:00,8.258200746621716,2578.808,226.935104
2000-01-13 13:00:00,8.129016323397275,2456.042,216.131696
2000-01-13 14:00:00,7.6958996553429015,2044.373,179.904824
2000-01-13 15:00:00,7.2672443155704425,1690.94,148.80272
2000-01-13 16:00:00,7.0619878400251626,1547.7302,136.20025760000001
2000-01-13 17:00:00,7.0894199435440095,1566.878,137.885264
2000-01-13 18:00:00,7.1348106220017256,1598.546,140.67204800000002
2000-01-13 19:00:00,7.136018680857749,1599.416,140.74860800000002
2000-01-13 20:00:00,6.984226215578118,1493.255,131.40644
2000-01-13 21:00:00,6.814888290918485,1374.7016,120.97374080000002
2000-01-13 22:00:00,6.704445281023199,1297.3538,114.16713440000001
2000-01-13 23:00:00,6.630352902901497,1248.3744,109.8569472
2000-01-14 00:00:00,6.6842506564627575,1283.2694,112.92770719999999
2000-01-14 01:00:00,6.618905017546794,1242.054,109.300752
2000-01-14 02:00:00,6.547319584649255,1202.6202,105.8305776
2000-01-14 03:00:00,6.69168902378941,1288.4492,113.3835296
2000-01-14 04:00:00,6.8376053932729075,1390.6484,122.3770592
2000-01-14 05:00:00,6.995647738523698,1501.2866,132.1132208
2000-01-14 06:00:00,7.165132182865138,1619.716,142.535008
2000-01-14 07:00:00,7.368329856076246,1761.526,155.014288
2000-01-14 08:00:00,7.5154331194002735,1872.864,164.81203200000002
2000-01-14 09:00:00,7.489273769739302,1848.058,162.62910399999998
2000-01-14 10:00:00,7.476850114519035,1837.216,161.675008
2000-01-14 11:00:00,7.5626513233997334,1917.736,168.760768
2000-01-14 12:00:00,7.718773989746946,2066.177,181.823576
