Date,windspeed,Enercon E126/7580 OFF power at a hub height of 135.0 m (kW),58.0 turbines for Enercon E126/7580 OFF power at a hub height of 135.0 m (MW)
2000-01-01 00:00:00,7.0880319666135065,2534.48,146.99984
2000-01-01 01:00:00,7.147768726026971,2593.76,150.43808
2000-01-01 02:00:00,7.2047588623320085,2650.32,153.71856
2000-01-01 03:00:00,7.1776272854735375,2623.36,152.15488
2000-01-01 04:00:00,7.25309479017454,2698.24,156.49792
2000-01-01 05:00:00,7.478085327001341,2999.052,173.945016
2000-01-01 06:00:00,7.649854217651755,3229.2,187.29359999999997
2000-01-01 07:00:00,7.888802456164338,3532.128,204.863424
2000-01-01 08:00:00,8.223145832440784,3975.344,230.569952
2000-01-01 09:00:00,8.660226286426271,4572.872,265.226576
2000-01-01 10:00:00,9.249839746252288,5286.908,306.6406640000001
2000-01-01 11:00:00,9.500228390960027,5561.24,322.55192
2000-01-01 12:00:00,9.548175452638484,5613.6,325.58880000000005
2000-01-01 13:00:00,9.830517995548352,5900.304,342.217632
2000-01-01 14:00:00,9.933712479006648,5998.941,347.938578
2000-01-01 15:00:00,9.699793413615973,5775.487,334.978246
2000-01-01 16:00:00,9.443883156608829,5499.728,318.984224
2000-01-01 17:00:00,9.219660348509947,5252.408,304.63966400000004
2000-01-01 18:00:00,9.11778851089742,5136.212,297.900296
2000-01-01 19:00:00,9.022897553331637,5027.836,291.614488
2000-01-01 20:00:00,8.920763721350609,4911.272,284.85377600000004
2000-01-01 21:00:00,8.658180300900042,4570.172,265.06997599999994
2000-01-01 22:00:00,8.27775984274769,4051.28,234.97424
2000-01-01 23:00:00,7.9744554113635076,3640.554,211.15213200000002
2000-01-02 00:00:00,7.677916103476352,3265.296,189.38716799999997
2000-01-02 01:00:00,7.366091775969171,2849.04,165.24432000000002
2000-01-02 02:00:00,7.108187430927918,2554.48,148.15984
2000-01-02 03:00:00,7.098677238479947,2545.04,147.61232
2000-01-02 04:00:00,7.227930836351187,2673.28,155.05024000000003
2000-01-02 05:00:00,7.333074478446398,2804.76,162.67608
2000-01-02 06:00:00,7.453344690465557,2965.896,172.02196800000002
2000-01-02 07:00:00,7.7482399374449145,3354.342,194.551836
2000-01-02 08:00:00,7.739894132017852,3343.734,193.93657199999998
2000-01-02 09:00:00,7.621595421746463,3191.4,185.1012
2000-01-02 10:00:00,7.521963044893511,3057.912,177.358896
2000-01-02 11:00:00,7.469235143190724,2987.28,173.26224000000002
2000-01-02 12:00:00,7.422741844397193,2924.964,169.64791200000002
2000-01-02 13:00:00,7.382771112785587,2871.396,166.54096800000002
2000-01-02 14:00:00,7.112727818303994,2558.96,148.41968
2000-01-02 15:00:00,6.949848724150349,2397.28,139.04224000000002
2000-01-02 16:00:00,7.054361605023455,2501.04,145.06032000000002
2000-01-02 17:00:00,7.309943344631453,2773.764,160.878312
2000-01-02 18:00:00,7.693658307735141,3285.288,190.546704
2000-01-02 19:00:00,7.926743198354091,3580.17,207.64986000000002
2000-01-02 20:00:00,8.150350531971291,3874.208,224.70406400000002
2000-01-02 21:00:00,8.182984340665268,3919.568,227.334944
2000-01-02 22:00:00,8.22136783555932,3972.88,230.42704
2000-01-02 23:00:00,8.261350443072116,4028.432,233.64905599999997
2000-01-03 00:00:00,8.694570796237139,4618.88,267.89504
2000-01-03 01:00:00,9.004500361928619,5006.86,290.39788
2000-01-03 02:00:00,9.133711700062623,5154.336,298.95148800000004
2000-01-03 03:00:00,9.277242202425569,5317.832,308.434256
2000-01-03 04:00:00,9.484738914007966,5544.344,321.571952
2000-01-03 05:00:00,9.561991100727726,5628.648,326.461584
2000-01-03 06:00:00,9.53087653599242,5594.68,324.49144
2000-01-03 07:00:00,9.291354995115237,5333.232,309.327456
2000-01-03 08:00:00,8.92972537424186,4921.576,285.451408
2000-01-03 09:00:00,8.481765718162361,4333.76,251.35808000000003
2000-01-03 10:00:00,8.529262785185326,4397.48,255.05383999999998
2000-01-03 11:00:00,8.378032518398427,4190.608,243.05526400000002
2000-01-03 12:00:00,8.204714054314884,3949.808,229.088864
2000-01-03 13:00:00,7.9585517606301,3620.46,209.98668
2000-01-03 14:00:00,7.8096551256544195,3432.066,199.05982799999998
2000-01-03 15:00:00,7.721261465393338,3320.172,192.569976
2000-01-03 16:00:00,7.668966574042393,3253.974,188.730492
2000-01-03 17:00:00,7.6956241303992154,3287.736,190.68868799999998
2000-01-03 18:00:00,7.696930628380895,3289.368,190.78334399999997
2000-01-03 19:00:00,7.457112556383834,2970.972,172.31637600000002
2000-01-03 20:00:00,7.023386271883585,2470.32,143.27856
2000-01-03 21:00:00,6.697312447782017,2146.64,124.50511999999999
2000-01-03 22:00:00,6.444375440581088,1896.49,109.99642
2000-01-03 23:00:00,6.160267148010153,1667.365,96.70717
2000-01-04 00:00:00,5.9746378921077525,1517.67,88.02486
2000-01-04 01:00:00,5.7293455824402155,1319.875,76.55275
2000-01-04 02:00:00,5.600452367845638,1224.324,71.010792
2000-01-04 03:00:00,5.480240384806455,1151.265,66.77337000000001
2000-01-04 04:00:00,5.520282340985597,1175.618,68.185844
2000-01-04 05:00:00,5.476924134286107,1149.256,66.656848
2000-01-04 06:00:00,5.336911339907841,1064.143,61.720294
2000-01-04 07:00:00,5.5481576693411245,1192.572,69.169176
2000-01-04 08:00:00,5.909928143529571,1465.54,85.00131999999999
2000-01-04 09:00:00,6.306936115068328,1785.665,103.56857
2000-01-04 10:00:00,6.628625918916682,2078.48,120.55184
2000-01-04 11:00:00,6.910456884226643,2358.24,136.77792
2000-01-04 12:00:00,7.042925180328857,2489.68,144.40144
2000-01-04 13:00:00,7.076207861699331,2522.72,146.31776
2000-01-04 14:00:00,7.0514700232020315,2498.16,144.89328
2000-01-04 15:00:00,6.898490641185898,2346.32,136.08656
2000-01-04 16:00:00,6.7459172114621255,2194.88,127.30304000000001
2000-01-04 17:00:00,6.673340212901912,2122.88,123.12704000000001
2000-01-04 18:00:00,6.7705705623208665,2219.36,128.72288
2000-01-04 19:00:00,6.843600171573986,2291.84,132.92672
2000-01-04 20:00:00,6.761372464915558,2210.24,128.19392
2000-01-04 21:00:00,6.7838701337830605,2232.56,129.48848
2000-01-04 22:00:00,6.788792680679783,2237.44,129.77152
2000-01-04 23:00:00,6.710529534763037,2159.76,125.26608000000002
2000-01-05 00:00:00,6.603791904542943,2053.84,119.12272
2000-01-05 01:00:00,6.530054941481067,1980.72,114.88176
2000-01-05 02:00:00,6.422550593323338,1878.875,108.97475
2000-01-05 03:00:00,6.494351428844285,1945.28,112.82624
2000-01-05 04:00:00,6.682700013560572,2132.16,123.66528
2000-01-05 05:00:00,6.834853859124767,2283.2,132.42559999999997
2000-01-05 06:00:00,6.971514232242399,2418.8,140.29040000000003
2000-01-05 07:00:00,7.306793676856603,2769.552,160.634016
2000-01-05 08:00:00,7.702567378962091,3296.508,191.19746399999997
2000-01-05 09:00:00,8.144700734762667,3866.368,224.24934399999998
2000-01-05 10:00:00,8.591434182154693,4480.748,259.883384
2000-01-05 11:00:00,8.759098812036102,4705.388,272.912504
2000-01-05 12:00:00,8.874370513212352,4858.372,281.785576
2000-01-05 13:00:00,8.715042648331721,4646.312,269.48609600000003
2000-01-05 14:00:00,8.377107423065969,4189.264,242.977312
2000-01-05 15:00:00,7.9850538047481,3654.018,211.933044
2000-01-05 16:00:00,7.770353842518457,3382.29,196.17282
2000-01-05 17:00:00,7.6761622228767505,3263.154,189.262932
2000-01-05 18:00:00,7.4177410904734336,2918.268,169.259544
