Date,windspeed,MHI Vestas V164/9500 OFF power at a hub height of 105.0 m (kW),281.0 turbines for MHI Vestas V164/9500 OFF power at a hub height of 105.0 m (MW)
2000-01-01 00:00:00,7.543617177119647,4709.716,1323.430196
2000-01-01 01:00:00,7.586928837543746,4786.2364,1344.9324284
2000-01-01 02:00:00,7.6761700641670565,4944.0688,1389.2833328
2000-01-01 03:00:00,7.711909700647634,5007.2308,1407.0318548
2000-01-01 04:00:00,7.669341996107019,4932.0172,1385.8968332
2000-01-01 05:00:00,7.635644341722269,4872.34,1369.12754
2000-01-01 06:00:00,7.789951284404753,5145.1708,1445.7929948
2000-01-01 07:00:00,8.046433261242022,5600.846,1573.8377259999997
2000-01-01 08:00:00,8.471167938230497,6336.94,1780.68014
2000-01-01 09:00:00,8.84553394046201,6974.5242,1959.8413002
2000-01-01 10:00:00,9.25937543287593,7658.0552,2151.9135112
2000-01-01 11:00:00,9.557807404618364,8132.9418,2285.3566458
2000-01-01 12:00:00,9.537623785819612,8101.5328,2276.5307168
2000-01-01 13:00:00,9.495776358788806,8036.1508,2258.1583748
2000-01-01 14:00:00,9.64456204684609,8268.321,2323.398201
2000-01-01 15:00:00,9.583107038796543,8172.4274,2296.4520993999995
2000-01-01 16:00:00,9.317365326800042,7751.3884,2178.1401404
2000-01-01 17:00:00,9.1705581052313,7515.147,2111.756307
2000-01-01 18:00:00,9.04308132361382,7309.9726,2054.1023006
2000-01-01 19:00:00,9.004919197624332,7245.7362,2036.0518722000002
2000-01-01 20:00:00,8.999978965369099,7237.3482,2033.6948442000003
2000-01-01 21:00:00,8.766186830444003,6839.4774,1921.8931494
2000-01-01 22:00:00,8.455615884401974,6310.48,1773.24488
2000-01-01 23:00:00,8.218721409330934,5906.72,1659.78832
2000-01-02 00:00:00,7.934143771473924,5401.264,1517.755184
2000-01-02 01:00:00,7.607800258730358,4823.1172,1355.2959331999998
2000-01-02 02:00:00,7.311988845583277,4313.32,1212.0429199999999
2000-01-02 03:00:00,7.280547085520941,4262.896,1197.873776
2000-01-02 04:00:00,7.4480556598335985,4540.8484,1275.9784003999998
2000-01-02 05:00:00,7.612453357328919,4831.3936,1357.6216016
2000-01-02 06:00:00,7.800020702426265,5162.8852,1450.7707411999997
2000-01-02 07:00:00,8.105657725717592,5706.112,1603.417472
2000-01-02 08:00:00,8.221953227997709,5912.32,1661.3619199999998
2000-01-02 09:00:00,8.117108734415233,5726.406,1609.120086
2000-01-02 10:00:00,8.088249870727294,5675.16,1594.71996
2000-01-02 11:00:00,7.969857953452272,5464.774,1535.6014940000002
2000-01-02 12:00:00,7.673172618909287,4938.6964,1387.7736883999999
2000-01-02 13:00:00,7.310952752666973,4311.736,1211.597816
2000-01-02 14:00:00,6.9066172311219685,3661.8472,1028.9790632000002
2000-01-02 15:00:00,6.679002158437044,3295.521,926.0414010000001
2000-01-02 16:00:00,6.8489723860476674,3569.0428,1002.9010268
2000-01-02 17:00:00,7.094504963325807,3963.916,1113.860396
2000-01-02 18:00:00,7.429205358504769,4507.4524,1266.5941244
2000-01-02 19:00:00,7.8803830344531605,5305.78,1490.92418
2000-01-02 20:00:00,8.489410888124025,6368.02,1789.41362
2000-01-02 21:00:00,8.599804782666274,6556.18,1842.2865800000002
2000-01-02 22:00:00,8.389826153187162,6198.34,1741.73354
2000-01-02 23:00:00,8.355962089911728,6140.66,1725.52546
2000-01-03 00:00:00,8.784059325758085,6869.814,1930.417734
2000-01-03 01:00:00,8.999178191273037,7235.9502,2033.3020062000003
2000-01-03 02:00:00,9.064246319724672,7344.0802,2063.6865362000003
2000-01-03 03:00:00,9.162789951693236,7502.7202,2108.2643762
2000-01-03 04:00:00,9.330367802800238,7772.4082,2184.0467042
2000-01-03 05:00:00,9.459246863707461,7979.1018,2242.1276058
2000-01-03 06:00:00,9.32904701591576,7770.293,2183.452333
2000-01-03 07:00:00,9.27423880674266,7681.9834,2158.6373354
2000-01-03 08:00:00,9.117574770118331,7429.878,2087.795718
2000-01-03 09:00:00,8.844017132817996,6971.868,1959.094908
2000-01-03 10:00:00,8.469541341924737,6334.28,1779.93268
2000-01-03 11:00:00,8.259765589341182,5976.72,1679.45832
2000-01-03 12:00:00,8.235672712803508,5935.7,1667.9316999999999
2000-01-03 13:00:00,8.209555332074036,5890.802,1655.315362
2000-01-03 14:00:00,7.973922066337066,5471.928,1537.611768
2000-01-03 15:00:00,7.8852384453397635,5314.394,1493.344714
2000-01-03 16:00:00,7.951406063469645,5431.924,1526.370644
2000-01-03 17:00:00,7.934830758453036,5402.432,1518.083392
2000-01-03 18:00:00,7.8968219926493335,5334.98,1499.1293799999999
2000-01-03 19:00:00,7.776794048115167,5121.9388,1439.2648027999999
2000-01-03 20:00:00,7.522230760544765,4671.964,1312.8218840000002
2000-01-03 21:00:00,7.209450100403639,4148.584,1165.7521040000001
2000-01-03 22:00:00,6.99084697223442,3797.332,1067.050292
2000-01-03 23:00:00,6.765442102726603,3434.5954,965.1213074000001
2000-01-04 00:00:00,6.591781970215397,3155.1246,886.5900126
2000-01-04 01:00:00,6.383636622125717,2869.6154,806.3619274
2000-01-04 02:00:00,6.185399061807822,2602.7376,731.3692656
2000-01-04 03:00:00,5.922924049034079,2256.908,634.1911479999999
2000-01-04 04:00:00,5.843374444929022,2152.364,604.8142839999999
2000-01-04 05:00:00,5.800859679477178,2096.42,589.09402
2000-01-04 06:00:00,5.740539655029568,2019.766,567.554246
2000-01-04 07:00:00,5.618941328802571,1892.486,531.788566
2000-01-04 08:00:00,5.51914606454533,1787.996,502.42687600000005
2000-01-04 09:00:00,5.873703013045367,2192.216,616.012696
2000-01-04 10:00:00,6.431194135367032,2933.6528,824.3564367999999
2000-01-04 11:00:00,6.885054976155013,3627.0786,1019.2090866
2000-01-04 12:00:00,7.131391402415449,4023.184,1130.5147040000002
2000-01-04 13:00:00,7.209718920206911,4148.98,1165.8633799999998
2000-01-04 14:00:00,7.125276998326124,4013.416,1127.769896
2000-01-04 15:00:00,7.035562069343093,3869.14,1087.22834
2000-01-04 16:00:00,7.052212495207048,3895.936,1094.758016
2000-01-04 17:00:00,7.094208829992947,3963.388,1113.712028
2000-01-04 18:00:00,7.206017899881159,4143.04,1164.19424
2000-01-04 19:00:00,7.34813751893804,4371.4,1228.3634
2000-01-04 20:00:00,7.267175880124673,4241.38,1191.82778
