Date,windspeed,Avera M5000-116 OFF power at a hub height of 90.0 m (kW),218.0 turbines for Avera M5000-116 OFF power at a hub height of 90.0 m (MW)
2000-01-01 00:00:00,7.0880319666135065,1565.892,341.364456
2000-01-01 01:00:00,7.147768726026971,1607.594,350.45549200000005
2000-01-01 02:00:00,7.2047588623320085,1647.382,359.129276
2000-01-01 03:00:00,7.1776272854735375,1628.416,354.99468799999994
2000-01-01 04:00:00,7.25309479017454,1681.08,366.47544
2000-01-01 05:00:00,7.478085327001341,1838.086,400.70274800000004
2000-01-01 06:00:00,7.649854217651755,2000.607,436.132326
2000-01-01 07:00:00,7.888802456164338,2227.732,485.645576
2000-01-01 08:00:00,8.223145832440784,2545.549,554.9296820000001
2000-01-01 09:00:00,8.660226286426271,3040.522,662.833796
2000-01-01 10:00:00,9.249839746252288,3754.6608,818.5160544
2000-01-01 11:00:00,9.500228390960027,4099.348,893.6578639999999
2000-01-01 12:00:00,9.548175452638484,4165.3568,908.0477824
2000-01-01 13:00:00,9.830517995548352,4530.3296,987.6118528
2000-01-01 14:00:00,9.933712479006648,4663.472,1016.636896
2000-01-01 15:00:00,9.699793413615973,4361.8112,950.8748416000001
2000-01-01 16:00:00,9.443883156608829,4021.7848,876.7490864
2000-01-01 17:00:00,9.219660348509947,3713.1336,809.4631248
2000-01-01 18:00:00,9.11778851089742,3578.1344,780.0332992
2000-01-01 19:00:00,9.022897553331637,3466.6752,755.7351936
2000-01-01 20:00:00,8.920763721350609,3346.7248,729.5860064
2000-01-01 21:00:00,8.658180300900042,3038.072,662.299696
2000-01-01 22:00:00,8.27775984274769,2597.452,566.244536
2000-01-01 23:00:00,7.9744554113635076,2309.181,503.401458
2000-01-02 00:00:00,7.677916103476352,2027.309,441.95336199999997
2000-01-02 01:00:00,7.366091775969171,1759.96,383.67128
2000-01-02 02:00:00,7.108187430927918,1579.986,344.43694800000003
2000-01-02 03:00:00,7.098677238479947,1573.316,342.98288800000006
2000-01-02 04:00:00,7.227930836351187,1663.506,362.644308
2000-01-02 05:00:00,7.333074478446398,1736.876,378.638968
2000-01-02 06:00:00,7.453344690465557,1820.802,396.93483599999996
2000-01-02 07:00:00,7.7482399374449145,2094.143,456.523174
2000-01-02 08:00:00,7.739894132017852,2086.243,454.800974
2000-01-02 09:00:00,7.621595421746463,1973.747,430.27684600000003
2000-01-02 10:00:00,7.521963044893511,1879.105,409.64489000000003
2000-01-02 11:00:00,7.469235143190724,1831.88,399.34984000000003
2000-01-02 12:00:00,7.422741844397193,1799.458,392.28184400000004
2000-01-02 13:00:00,7.382771112785587,1771.56,386.20008
2000-01-02 14:00:00,7.112727818303994,1583.118,345.11972399999996
2000-01-02 15:00:00,6.949848724150349,1469.2184,320.28961119999997
2000-01-02 16:00:00,7.054361605023455,1542.3758,336.2379244
2000-01-02 17:00:00,7.309943344631453,1720.752,375.123936
2000-01-02 18:00:00,7.693658307735141,2042.24,445.20832
2000-01-02 19:00:00,7.926743198354091,2263.835,493.51603
2000-01-02 20:00:00,8.150350531971291,2476.345,539.84321
2000-01-02 21:00:00,8.182984340665268,2507.313,546.594234
2000-01-02 22:00:00,8.22136783555932,2543.811,554.5507980000001
2000-01-02 23:00:00,8.261350443072116,2581.81,562.83458
2000-01-03 00:00:00,8.694570796237139,3080.996,671.6571280000001
2000-01-03 01:00:00,9.004500361928619,3445.1056,751.0330207999999
2000-01-03 02:00:00,9.133711700062623,3596.776,784.0971679999999
2000-01-03 03:00:00,9.277242202425569,3792.4128,826.7459904
2000-01-03 04:00:00,9.484738914007966,4078.0696,889.0191728
2000-01-03 05:00:00,9.561991100727726,4184.0736,912.1280447999999
2000-01-03 06:00:00,9.53087653599242,4141.5616,902.8604288
2000-01-03 07:00:00,9.291354995115237,3811.8608,830.9856544
2000-01-03 08:00:00,8.92972537424186,3357.2656,731.8839008000001
2000-01-03 09:00:00,8.481765718162361,2830.116,616.965288
2000-01-03 10:00:00,8.529262785185326,2886.074,629.164132
2000-01-03 11:00:00,8.378032518398427,2707.812,590.303016
2000-01-03 12:00:00,8.204714054314884,2528.011,551.106398
2000-01-03 13:00:00,7.9585517606301,2294.013,500.094834
2000-01-03 14:00:00,7.8096551256544195,2152.524,469.250232
2000-01-03 15:00:00,7.721261465393338,2068.547,450.943246
2000-01-03 16:00:00,7.668966574042393,2018.777,440.093386
2000-01-03 17:00:00,7.6956241303992154,2044.136,445.621648
2000-01-03 18:00:00,7.696930628380895,2045.4,445.8972
2000-01-03 19:00:00,7.457112556383834,1823.47,397.51646
2000-01-03 20:00:00,7.023386271883585,1520.7254,331.5181372
2000-01-03 21:00:00,6.697312447782017,1292.4068,281.7446824
2000-01-03 22:00:00,6.444375440581088,1145.9198,249.81051639999995
2000-01-03 23:00:00,6.160267148010153,989.5528,215.7225104
2000-01-04 00:00:00,5.9746378921077525,887.6824,193.5147632
2000-01-04 01:00:00,5.7293455824402155,766.1952,167.03055360000002
2000-01-04 02:00:00,5.600452367845638,714.4252,155.7446936
2000-01-04 03:00:00,5.480240384806455,666.0954,145.2087972
2000-01-04 04:00:00,5.520282340985597,682.1942,148.7183356
2000-01-04 05:00:00,5.476924134286107,664.7594,144.9175492
2000-01-04 06:00:00,5.336911339907841,608.6724,132.69058320000002
2000-01-04 07:00:00,5.5481576693411245,693.3832,151.1575376
2000-01-04 08:00:00,5.909928143529571,852.2056,185.7808208
2000-01-04 09:00:00,6.306936115068328,1070.1666,233.2963188
2000-01-04 10:00:00,6.628625918916682,1247.4126,271.9359468
2000-01-04 11:00:00,6.910456884226643,1441.6316,314.2756888
2000-01-04 12:00:00,7.042925180328857,1534.4024,334.4997232
2000-01-04 13:00:00,7.076207861699331,1557.656,339.569008
2000-01-04 14:00:00,7.0514700232020315,1540.3388,335.79385840000003
2000-01-04 15:00:00,6.898490641185898,1433.2508,312.4486744
2000-01-04 16:00:00,6.7459172114621255,1326.3956,289.1542408
2000-01-04 17:00:00,6.673340212901912,1275.587,278.077966
2000-01-04 18:00:00,6.7705705623208665,1343.681,292.922458
2000-01-04 19:00:00,6.843600171573986,1394.8388,304.07485840000004
2000-01-04 20:00:00,6.761372464915558,1337.2208,291.51413440000005
2000-01-04 21:00:00,6.7838701337830605,1352.993,294.952474
2000-01-04 22:00:00,6.788792680679783,1356.4268,295.70104239999995
2000-01-04 23:00:00,6.710529534763037,1301.6606,283.7620108
2000-01-05 00:00:00,6.603791904542943,1233.7642,268.9605956
2000-01-05 01:00:00,6.530054941481067,1193.0938,260.09444840000003
2000-01-05 02:00:00,6.422550593323338,1133.8744,247.1846192
2000-01-05 03:00:00,6.494351428844285,1173.4456,255.8111408
2000-01-05 04:00:00,6.682700013560572,1282.1636,279.5116648
2000-01-05 05:00:00,6.834853859124767,1388.6696,302.7299728
2000-01-05 06:00:00,6.971514232242399,1484.4086,323.6010748
2000-01-05 07:00:00,7.306793676856603,1718.548,374.643464
