Date,windspeed,MHI Vestas V164/9500 OFF power at a hub height of 105.0 m (kW),218.0 turbines for MHI Vestas V164/9500 OFF power at a hub height of 105.0 m (MW)
2000-01-01 00:00:00,7.0880319666135065,3953.488,861.860384
2000-01-01 01:00:00,7.147768726026971,4049.452,882.7805360000001
2000-01-01 02:00:00,7.2047588623320085,4141.06,902.7510800000001
2000-01-01 03:00:00,7.1776272854735375,4097.5,893.255
2000-01-01 04:00:00,7.25309479017454,4218.808,919.700144
2000-01-01 05:00:00,7.478085327001341,4593.8464,1001.4585152000001
2000-01-01 06:00:00,7.649854217651755,4897.4596,1067.6461928
2000-01-01 07:00:00,7.888802456164338,5320.672,1159.9064959999998
2000-01-01 08:00:00,8.223145832440784,5914.28,1289.31304
2000-01-01 09:00:00,8.660226286426271,6659.1354,1451.6915172000001
2000-01-01 10:00:00,9.249839746252288,7642.72,1666.11296
2000-01-01 11:00:00,9.500228390960027,8043.0736,1753.3900448
2000-01-01 12:00:00,9.548175452638484,8117.9424,1769.7114432
2000-01-01 13:00:00,9.830517995548352,8558.5658,1865.7673444
2000-01-01 14:00:00,9.933712479006648,8689.615,1894.33607
2000-01-01 15:00:00,9.699793413615973,8354.5996,1821.3027127999999
2000-01-01 16:00:00,9.443883156608829,7954.9764,1734.1848552
2000-01-01 17:00:00,9.219660348509947,7594.2026,1655.5361668
2000-01-01 18:00:00,9.11778851089742,7430.2746,1619.7998628
2000-01-01 19:00:00,9.022897553331637,7276.3524,1586.2448232
2000-01-01 20:00:00,8.920763721350609,7102.4412,1548.3321816
2000-01-01 21:00:00,8.658180300900042,6655.6404,1450.9296072
2000-01-01 22:00:00,8.27775984274769,6007.38,1309.60884
2000-01-01 23:00:00,7.9744554113635076,5472.95,1193.1030999999998
2000-01-02 00:00:00,7.677916103476352,4947.118,1078.4717240000002
2000-01-02 01:00:00,7.366091775969171,4400.308,959.2671439999999
2000-01-02 02:00:00,7.108187430927918,3985.96,868.93928
2000-01-02 03:00:00,7.098677238479947,3970.648,865.6012640000001
2000-01-02 04:00:00,7.227930836351187,4178.284,910.8659119999999
2000-01-02 05:00:00,7.333074478446398,4347.244,947.6991919999999
2000-01-02 06:00:00,7.453344690465557,4550.1412,991.9307815999999
2000-01-02 07:00:00,7.7482399374449145,5071.4092,1105.5672056
2000-01-02 08:00:00,7.739894132017852,5056.5988,1102.3385384
2000-01-02 09:00:00,7.621595421746463,4847.5108,1056.7573544000002
2000-01-02 10:00:00,7.521963044893511,4671.5284,1018.3931912
2000-01-02 11:00:00,7.469235143190724,4578.31,998.07158
2000-01-02 12:00:00,7.422741844397193,4496.1268,980.1556424
2000-01-02 13:00:00,7.382771112785587,4427.104,965.1086720000001
2000-01-02 14:00:00,7.112727818303994,3993.22,870.5219599999999
2000-01-02 15:00:00,6.949848724150349,3731.3844,813.4417992
2000-01-02 16:00:00,7.054361605023455,3899.368,850.0622239999999
2000-01-02 17:00:00,7.309943344631453,4310.152,939.613136
2000-01-02 18:00:00,7.693658307735141,4974.9964,1084.5492152
2000-01-02 19:00:00,7.926743198354091,5388.124,1174.6110319999998
2000-01-02 20:00:00,8.150350531971291,5785.536,1261.246848
2000-01-02 21:00:00,8.182984340665268,5843.498,1273.882564
2000-01-02 22:00:00,8.22136783555932,5911.34,1288.6721200000002
2000-01-02 23:00:00,8.261350443072116,5979.38,1303.50484
2000-01-03 00:00:00,8.694570796237139,6717.5718,1464.4306524
2000-01-03 01:00:00,9.004500361928619,7245.0372,1579.4181095999998
